,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2024-05-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,43930,0,CODELL-FORT HAYS,65.0,172.0,203.0,,34.0,39.0,497.0,,2.0,,495.0,1345.0,,,82.0,,,M
1,2024-04-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,43930,0,CODELL-FORT HAYS,57.0,190.0,182.0,,65.0,39.0,485.0,,1.0,,484.0,1345.0,,,107.0,,,M
2,2024-03-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,43930,0,CODELL-FORT HAYS,50.0,273.0,266.0,,57.0,43.0,704.0,5.0,2.0,,697.0,1349.0,,,185.0,,,M
3,2024-02-01,29,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,43930,0,CODELL-FORT HAYS,48.0,178.0,176.0,,50.0,43.0,589.0,,2.0,,587.0,1339.0,,,114.0,,,M
4,2024-01-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,43930,0,CODELL-FORT HAYS,49.0,220.0,221.0,,48.0,43.0,631.0,,2.0,,629.0,1344.0,,,115.0,,,M
5,2023-12-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,43930,0,CODELL-FORT HAYS,17.0,207.0,175.0,,49.0,40.0,767.0,,2.0,,765.0,1342.0,,,132.0,,,M
6,2023-11-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,43930,0,CODELL-FORT HAYS,25.0,99.0,107.0,,17.0,40.0,872.0,6.0,2.0,,864.0,1352.0,,,119.0,,,M
7,2023-10-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,43930,0,CODELL-FORT HAYS,13.0,183.0,171.0,,25.0,40.0,1146.0,9.0,3.0,,1134.0,1350.0,,,483.0,,,M
8,2023-09-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,43930,0,CODELL-FORT HAYS,57.0,89.0,133.0,,13.0,40.0,157.0,,,,157.0,1338.0,,,100.0,,,M
9,2023-08-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,43930,0,CODELL-FORT HAYS,89.0,328.0,360.0,,57.0,40.0,4082.0,,8.0,,4074.0,1344.0,,,186.0,,,M
10,2023-07-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,43930,0,CODELL-FORT HAYS,37.0,353.0,301.0,,89.0,40.0,5344.0,213.0,10.0,,5121.0,1370.0,,,221.0,,,M
11,2023-06-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,43930,0,CODELL-FORT HAYS,54.0,175.0,192.0,,37.0,39.0,2163.0,,5.0,,2158.0,1364.0,,,539.0,,,M
12,2023-05-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,43930,0,CODELL-FORT HAYS,46.0,194.0,186.0,,54.0,39.0,1426.0,1.0,3.0,,1422.0,1344.0,,,507.0,,,M
13,2023-04-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,43930,0,CODELL-FORT HAYS,79.0,217.0,250.0,,46.0,39.0,2344.0,,5.0,,2339.0,1351.0,,,683.0,,,M
14,2023-03-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,43930,0,CODELL-FORT HAYS,83.0,318.0,322.0,,79.0,40.0,1986.0,,4.0,,1982.0,1361.0,,,687.0,,,M
15,2023-02-01,28,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,43930,0,CODELL-FORT HAYS,63.0,338.0,318.0,,83.0,38.0,1843.0,28.0,3.0,,1812.0,1350.0,,,566.0,,,M
