,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2024-05-01,11,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,108.0,94.0,157.0,,45.0,40.0,3455.0,,601.0,-37.0,2891.0,1326.0,,,11.0,,,C
1,2024-04-01,0,SI,NOBLE ENERGY INC,123,37458,0,NIOBRARA,109.0,,,-1.0,108.0,,,,,,,,,,,,,
2,2024-03-01,12,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,123.0,122.0,137.0,1.0,109.0,40.3,3608.0,,1768.0,,1840.0,1403.0,,,30.0,,,C
3,2024-02-01,28,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,140.0,176.0,193.0,,123.0,41.8,5318.0,,1676.0,,3642.0,1336.0,,,34.0,,,C
4,2024-01-01,20,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,139.0,137.0,135.0,-1.0,140.0,39.5,2079.0,,1111.0,,968.0,1326.0,,,38.0,,,C
5,2023-12-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,152.0,208.0,222.0,1.0,139.0,39.8,2852.0,,1647.0,,1205.0,1332.0,,,114.0,,,C
6,2023-11-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,151.0,261.0,260.0,,152.0,40.9,6053.0,,1657.0,,4396.0,1326.0,,,56.0,,,C
7,2023-10-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,144.0,340.0,333.0,,151.0,40.7,5032.0,,1727.0,,3305.0,1353.0,,,53.0,,,C
8,2023-09-01,29,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,139.0,103.0,99.0,1.0,144.0,39.4,4301.0,,1529.0,,2772.0,1372.0,,,18.0,,,C
9,2023-08-01,15,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,164.0,170.0,196.0,1.0,139.0,39.3,3943.0,,1710.0,,2233.0,1374.0,,,36.0,,,C
10,2023-07-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,187.0,356.0,379.0,,164.0,38.9,7083.0,,1499.0,,5584.0,1346.0,,,142.0,,,C
11,2023-06-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,105.0,415.0,333.0,,187.0,38.9,4936.0,,954.0,,3982.0,1358.0,,,85.0,,,C
12,2023-05-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,23.0,315.0,233.0,,105.0,39.9,2927.0,,617.0,,2310.0,1349.0,,,86.0,,,M
13,2023-04-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,35.0,73.0,84.0,-1.0,23.0,40.0,,,,,,,,,51.0,,,I
14,2023-03-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,81.0,76.0,123.0,1.0,35.0,40.5,,,,,,,,,49.0,,,I
15,2023-02-01,28,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,137.0,141.0,196.0,-1.0,81.0,40.0,,,,,,,,,96.0,,,I
16,2023-01-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,104.0,275.0,242.0,,137.0,40.4,,,,,,,,,148.0,,,C
17,2022-12-01,23,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,132.0,236.0,263.0,-1.0,104.0,40.1,,,,,,,,,75.0,,,I
18,2022-11-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,115.0,299.0,282.0,,132.0,39.5,,,,,,,,,125.0,,,I
19,2022-10-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,100.0,390.0,375.0,,115.0,38.8,670.0,,,,670.0,1343.0,,,130.0,,,I
20,2022-09-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,97.0,362.0,360.0,1.0,100.0,38.8,921.0,,163.0,,758.0,1337.0,,,125.0,,,I
21,2022-08-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,77.0,295.0,275.0,,97.0,38.5,1056.0,,194.0,,862.0,1337.0,,,152.0,,,I
22,2022-07-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,67.0,269.0,253.0,-6.0,77.0,39.1,2321.0,,420.0,,1901.0,1349.0,,,130.0,,,I
23,2022-06-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,68.0,251.0,258.0,,61.0,39.1,3355.0,,601.0,,2754.0,1346.0,,,146.0,,,I
24,2022-05-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,122.0,251.0,305.0,,68.0,39.7,1692.0,,335.0,,1357.0,1353.0,,,205.0,,,I
25,2022-04-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,148.0,473.0,499.0,,122.0,39.2,267.0,,49.0,,218.0,1346.0,,,178.0,,,I
26,2022-03-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,114.0,531.0,497.0,,148.0,40.9,349.0,,73.0,,276.0,1346.0,,,189.0,,,I
27,2022-02-01,28,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,95.0,305.0,285.0,-1.0,114.0,40.9,680.0,,164.0,,516.0,1346.0,,,131.0,,,I
28,2022-01-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,104.0,352.0,362.0,1.0,95.0,39.5,970.0,,244.0,,726.0,1342.0,,,129.0,,,I
29,2021-12-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,120.0,394.0,409.0,-1.0,104.0,38.9,1093.0,,243.0,,850.0,1342.0,,,159.0,,,I
30,2021-11-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,98.0,375.0,353.0,,120.0,39.0,1025.0,,227.0,,798.0,1343.0,,,141.0,,,I
31,2021-10-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,91.0,398.0,391.0,,98.0,39.0,904.0,,224.0,,680.0,1343.0,,,136.0,,,I
32,2021-09-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,111.0,432.0,452.0,,91.0,38.5,925.0,,234.0,,691.0,1354.0,,,146.0,,,C
33,2021-08-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,120.0,444.0,453.0,,111.0,38.1,1135.0,,251.0,,884.0,1309.0,,,169.0,,,C
34,2021-07-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,125.0,475.0,480.0,,120.0,39.3,1383.0,,274.0,,1109.0,1353.0,,,165.0,,,C
35,2021-06-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,135.0,453.0,463.0,,125.0,38.8,1170.0,,274.0,,896.0,1353.0,,,186.0,,,C
36,2021-05-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,122.0,465.0,452.0,,135.0,38.3,1265.0,,269.0,,996.0,1353.0,,,221.0,,,C
37,2021-04-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,111.0,460.0,449.0,,122.0,39.4,1386.0,,270.0,,1116.0,1352.0,,,207.0,,,C
38,2021-03-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,111.0,499.0,499.0,,111.0,40.2,1438.0,,272.0,,1166.0,1352.0,,,212.0,,,C
39,2021-02-01,28,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,100.0,327.0,316.0,,111.0,41.1,1043.0,,273.0,,770.0,1354.0,,,146.0,,,C
40,2021-01-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,123.0,535.0,558.0,,100.0,40.5,1467.0,,275.0,,1192.0,1352.0,,,198.0,,,C
41,2020-12-01,28,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,124.0,505.0,506.0,,123.0,40.1,1475.0,,274.0,,1201.0,1352.0,,,206.0,,,C
42,2020-11-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,110.0,532.0,518.0,,124.0,39.8,1368.0,,224.0,,1144.0,1289.0,,,249.0,,,C
43,2020-10-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,77.0,528.0,495.0,,110.0,39.1,1640.0,,273.0,,1367.0,1288.0,,,232.0,,,C
44,2020-09-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,101.0,635.0,659.0,,77.0,37.7,2086.0,,273.0,,1813.0,1289.0,,,277.0,,,C
45,2020-08-01,12,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,63.0,290.0,252.0,,101.0,38.3,1080.0,,90.0,,990.0,1024.0,,,47.0,,,C
46,2020-07-01,0,SI,NOBLE ENERGY INC,123,37458,0,NIOBRARA,63.0,,,,63.0,,,,,,,,,,,,,
47,2020-06-01,1,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,64.0,3.0,4.0,,63.0,39.1,,,,,,,,,,,,
48,2020-05-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,73.0,540.0,549.0,,64.0,39.2,746.0,,231.0,,515.0,1290.0,,,344.0,,,C
49,2020-04-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,86.0,493.0,506.0,,73.0,39.5,870.0,,233.0,,637.0,1291.0,,,297.0,,,C
50,2020-03-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,170.0,247.0,331.0,,86.0,42.8,131.0,,131.0,,,1257.0,,,84.0,,,C
51,2020-02-01,29,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,169.0,511.0,510.0,,170.0,43.6,908.0,,170.0,,738.0,1249.0,,,144.0,,,C
52,2020-01-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,220.0,552.0,603.0,,169.0,37.9,1207.0,,166.0,,1041.0,1209.0,,,119.0,,,C
53,2019-12-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,182.0,435.0,397.0,,220.0,38.2,630.0,,,,630.0,1285.0,,,152.0,,,C
54,2019-11-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,179.0,462.0,459.0,,182.0,38.1,591.0,,,,591.0,1196.0,,,190.0,,,C
55,2019-10-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,144.0,371.0,336.0,,179.0,38.3,726.0,,,,726.0,1273.0,,,113.0,,,C
56,2019-09-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,134.0,489.0,479.0,,144.0,37.4,881.0,,,,881.0,1328.0,,,276.0,,,C
57,2019-08-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,123.0,534.0,523.0,,134.0,38.2,826.0,,,,826.0,1323.0,,,266.0,,,C
58,2019-07-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,116.0,514.0,507.0,,123.0,38.2,869.0,,,,869.0,1397.0,,,278.0,,,C
59,2019-06-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,117.0,552.0,553.0,,116.0,39.5,1045.0,,,,1045.0,1369.0,,,319.0,,,C
60,2019-05-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,105.0,537.0,525.0,,117.0,39.0,1174.0,,,,1174.0,1338.0,,,273.0,,,C
61,2019-04-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,102.0,639.0,636.0,,105.0,40.0,1689.0,,,,1689.0,1340.0,,,365.0,,,C
62,2019-03-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,92.0,657.0,647.0,,102.0,40.0,1802.0,,,,1802.0,1357.0,,,249.0,,,C
63,2019-02-01,28,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,66.0,516.0,490.0,,92.0,40.0,1545.0,,,,1545.0,1352.0,,,225.0,,,C
64,2019-01-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,79.0,567.0,580.0,,66.0,40.0,316.0,,,,316.0,1347.0,,,233.0,,,C
65,2018-12-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,81.0,715.0,717.0,,79.0,40.0,2750.0,,,,2750.0,1288.0,,,370.0,,,C
66,2018-11-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,74.0,667.0,660.0,,81.0,40.0,3269.0,,,,3269.0,1356.0,,,306.0,,,C
67,2018-10-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,69.0,681.0,676.0,,74.0,40.0,1591.0,,,,1591.0,1357.0,,,281.0,,,C
68,2018-09-01,30,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,53.0,666.0,650.0,,69.0,40.0,1443.0,,,,1443.0,1317.0,,,437.0,,,C
69,2018-08-01,31,PR,NOBLE ENERGY INC,123,37458,0,NIOBRARA,83.0,692.0,722.0,,53.0,40.0,1056.0,,,,1056.0,1284.0,,,261.0,,,C
