,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2024-05-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,291.0,320.0,256,,355.0,37.3,2057.0,,86.0,-26.0,1997.0,1326.0,,,48.0,,,C
1,2024-04-01,30,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,187.0,270.0,167,1.0,291.0,38.8,2065.0,,64.0,-63.0,2064.0,1321.0,,,30.0,,,C
2,2024-03-01,13,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,2.0,187.0,2,,187.0,40.3,739.0,,23.0,,716.0,1403.0,,,15.0,,,C
3,2024-02-01,0,SI,NOBLE ENERGY INC,123,37527,0,NIOBRARA,20.0,,18,,2.0,41.9,,,,,,,,,,,,
4,2024-01-01,7,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,80.0,,60,,20.0,42.1,53.0,,2.0,,51.0,1326.0,,,,,,
5,2023-12-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,110.0,75.0,104,-1.0,80.0,42.4,442.0,,13.0,,429.0,1332.0,,,11.0,,,C
6,2023-11-01,30,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,111.0,78.0,79,,110.0,42.7,358.0,,10.0,,348.0,1326.0,,,12.0,,,C
7,2023-10-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,129.0,79.0,96,-1.0,111.0,40.7,310.0,,77.0,,233.0,1353.0,,,,,,
8,2023-09-01,30,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,192.0,96.0,158,-1.0,129.0,40.3,405.0,,132.0,,273.0,1372.0,,,,,,
9,2023-08-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,177.0,150.0,135,,192.0,40.4,282.0,,107.0,,175.0,1375.0,,,,,,
10,2023-07-01,12,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,179.0,73.0,75,,177.0,40.3,263.0,,83.0,,180.0,1346.0,,,24.0,,,C
11,2023-06-01,28,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,178.0,159.0,157,-1.0,179.0,40.7,606.0,,202.0,,404.0,1358.0,,,49.0,,,C
12,2023-05-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,224.0,181.0,227,,178.0,40.7,515.0,,173.0,,342.0,1349.0,,,123.0,,,M
13,2023-04-01,30,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,120.0,214.0,110,,224.0,40.7,536.0,,205.0,,331.0,1351.0,,,66.0,,,I
14,2023-03-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,163.0,108.0,151,,120.0,40.7,785.0,,281.0,,504.0,1349.0,,,77.0,,,I
15,2023-02-01,28,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,195.0,96.0,128,,163.0,40.9,704.0,,231.0,,473.0,1347.0,,,38.0,,,I
16,2023-01-01,30,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,214.0,166.0,185,,195.0,40.9,932.0,,260.0,,672.0,1346.0,,,75.0,,,C
17,2022-12-01,26,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,190.0,113.0,88,-1.0,214.0,40.0,419.0,,255.0,,164.0,1346.0,,,56.0,,,I
18,2022-11-01,30,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,195.0,204.0,209,,190.0,40.7,1031.0,,344.0,,687.0,1345.0,,,70.0,,,I
19,2022-10-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,146.0,203.0,154,,195.0,39.7,1070.0,,294.0,,776.0,1343.0,,,45.0,,,C
20,2022-09-01,30,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,176.0,202.0,231,-1.0,146.0,39.7,1091.0,,338.0,,753.0,1337.0,,,58.0,,,I
21,2022-08-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,209.0,261.0,294,,176.0,38.9,1059.0,,291.0,,768.0,1337.0,,,95.0,,,I
22,2022-07-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,200.0,285.0,275,-1.0,209.0,39.9,1249.0,,310.0,,939.0,1349.0,,,107.0,,,I
23,2022-06-01,30,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,196.0,275.0,271,,200.0,39.9,1163.0,,331.0,,832.0,1346.0,,,91.0,,,I
24,2022-05-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,217.0,276.0,298,1.0,196.0,39.8,1085.0,,294.0,,791.0,1353.0,,,83.0,,,I
25,2022-04-01,30,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,182.0,269.0,234,,217.0,40.5,965.0,,315.0,,650.0,1346.0,,,59.0,,,I
26,2022-03-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,205.0,234.0,257,,182.0,40.5,813.0,,259.0,,554.0,1346.0,,,57.0,,,I
27,2022-02-01,28,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,197.0,212.0,203,-1.0,205.0,40.5,541.0,,232.0,,309.0,1346.0,,,72.0,,,I
28,2022-01-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,192.0,276.0,271,,197.0,41.2,690.0,,245.0,,445.0,1342.0,,,70.0,,,I
29,2021-12-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,165.0,265.0,238,,192.0,41.0,795.0,,252.0,,543.0,1342.0,,,,,,
30,2021-11-01,30,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,176.0,273.0,284,,165.0,41.0,836.0,,251.0,,585.0,1343.0,,,,,,
31,2021-10-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,104.0,267.0,195,,176.0,40.9,816.0,,249.0,,567.0,1343.0,,,,,,
32,2021-09-01,30,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,87.0,148.0,131,,104.0,41.5,1214.0,,366.0,,848.0,1343.0,,,1.0,,,C
33,2021-08-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,23.0,128.0,64,,87.0,41.1,1819.0,,380.0,,1439.0,1177.0,,,,,,
34,2021-07-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,,31.0,8,,23.0,40.9,4399.0,,1316.0,,3083.0,1350.0,,,,,,
35,2021-06-01,30,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,44.0,5.0,49,,,40.5,3117.0,,1031.0,,2086.0,1353.0,,,,,,
36,2021-05-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,49.0,70.0,75,,44.0,40.4,755.0,,226.0,,529.0,1347.0,,,,,,
37,2021-04-01,30,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,152.0,68.0,171,,49.0,41.0,592.0,,197.0,,395.0,1385.0,,,1.0,,,C
38,2021-03-01,29,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,150.0,163.0,161,,152.0,42.6,1272.0,,459.0,,813.0,1387.0,,,40.0,,,C
39,2021-02-01,27,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,180.0,177.0,207,,150.0,42.2,973.0,,391.0,,582.0,1390.0,,,92.0,,,C
40,2021-01-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,159.0,256.0,235,,180.0,42.2,1204.0,,380.0,,824.0,1347.0,,,114.0,,,C
41,2020-12-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,199.0,245.0,285,,159.0,39.8,1203.0,,332.0,,871.0,1350.0,,,160.0,,,C
42,2020-11-01,30,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,184.0,229.0,214,,199.0,39.5,982.0,,297.0,,685.0,1336.0,,,116.0,,,C
43,2020-10-01,31,PR,NOBLE ENERGY INC,123,37527,0,NIOBRARA,177.0,243.0,236,,184.0,41.0,861.0,,342.0,,519.0,1336.0,,,73.0,,,C
