,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2024-05-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,277.0,847.0,691.0,,433.0,38.3,1486.0,,698.0,-10.0,798.0,1326.0,,,143.0,,,C
1,2024-04-01,30,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,348.0,803.0,874.0,,277.0,38.1,1588.0,,796.0,-25.0,817.0,1321.0,,,92.0,,,C
2,2024-03-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,563.0,503.0,718.0,,348.0,39.1,425.0,,219.0,,206.0,1403.0,,,52.0,,,C
3,2024-02-01,29,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,483.0,684.0,605.0,1.0,563.0,40.3,1776.0,,888.0,,888.0,1336.0,,,206.0,,,C
4,2024-01-01,21,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,773.0,609.0,899.0,,483.0,38.8,1681.0,,973.0,,708.0,1326.0,,,40.0,,,C
5,2023-12-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,484.0,1064.0,776.0,1.0,773.0,39.3,3283.0,,1700.0,,1583.0,1332.0,,,70.0,,,C
6,2023-11-01,30,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,421.0,658.0,595.0,,484.0,39.8,3081.0,,1497.0,,1584.0,1326.0,,,96.0,,,C
7,2023-10-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,450.0,579.0,608.0,,421.0,38.4,3073.0,,1476.0,,1597.0,1353.0,,,128.0,,,C
8,2023-09-01,30,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,501.0,553.0,604.0,,450.0,38.3,3524.0,,1633.0,,1891.0,1372.0,,,35.0,,,C
9,2023-08-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,395.0,776.0,670.0,,501.0,37.3,2342.0,,1419.0,,923.0,1374.0,,,52.0,,,C
10,2023-07-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,524.0,617.0,746.0,,395.0,37.6,2279.0,,1119.0,,1160.0,1346.0,,,34.0,,,C
11,2023-06-01,30,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,439.0,662.0,577.0,,524.0,37.3,2589.0,,1390.0,,1199.0,1358.0,,,56.0,,,C
12,2023-05-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,487.0,691.0,739.0,,439.0,38.8,2452.0,,1219.0,,1233.0,1349.0,,,43.0,,,I
13,2023-04-01,30,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,462.0,715.0,690.0,,487.0,38.9,2865.0,,1437.0,,1428.0,1351.0,,,12.0,,,I
14,2023-03-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,626.0,642.0,807.0,1.0,462.0,38.3,2858.0,,1477.0,,1381.0,1349.0,,,79.0,,,I
15,2023-02-01,27,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,410.0,704.0,488.0,,626.0,38.8,2274.0,,1208.0,,1066.0,1347.0,,,38.0,,,I
16,2023-01-01,30,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,436.0,519.0,546.0,1.0,410.0,44.9,2446.0,,1201.0,,1245.0,1346.0,,,75.0,,,C
17,2022-12-01,21,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,311.0,226.0,101.0,,436.0,38.5,1438.0,,948.0,,490.0,1346.0,,,91.0,,,I
18,2022-11-01,30,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,339.0,390.0,418.0,,311.0,36.8,2233.0,,1213.0,,1020.0,1345.0,,,93.0,,,I
19,2022-10-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,271.0,453.0,385.0,,339.0,37.0,2381.0,,978.0,,1403.0,1343.0,,,28.0,,,I
20,2022-09-01,30,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,586.0,498.0,813.0,,271.0,37.6,2731.0,,769.0,,1962.0,1337.0,,,38.0,,,I
21,2022-08-01,17,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,659.0,355.0,428.0,,586.0,37.1,1603.0,,631.0,,972.0,1337.0,,,41.0,,,I
22,2022-07-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,682.0,909.0,932.0,,659.0,37.2,2690.0,,1102.0,,1588.0,1349.0,,,131.0,,,I
23,2022-06-01,30,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,661.0,1183.0,1162.0,,682.0,37.1,2932.0,,1066.0,,1866.0,1346.0,,,165.0,,,I
24,2022-05-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,615.0,1277.0,1230.0,-1.0,661.0,37.1,3075.0,,1078.0,,1997.0,1353.0,,,184.0,,,I
25,2022-04-01,30,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,373.0,1273.0,1031.0,,615.0,38.3,3241.0,,1123.0,,2118.0,1346.0,,,127.0,,,I
26,2022-03-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,362.0,785.0,775.0,1.0,373.0,38.2,2892.0,,1046.0,,1846.0,1346.0,,,13.0,,,I
27,2022-02-01,28,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,412.0,482.0,532.0,,362.0,38.3,1911.0,,903.0,,1008.0,1346.0,,,21.0,,,I
28,2022-01-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,411.0,653.0,652.0,,412.0,38.3,2256.0,,920.0,,1336.0,1342.0,,,34.0,,,I
29,2021-12-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,384.0,668.0,640.0,-1.0,411.0,38.3,1605.0,,695.0,,910.0,1342.0,,,107.0,,,I
30,2021-11-01,30,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,440.0,718.0,775.0,1.0,384.0,38.0,1663.0,,686.0,,977.0,1343.0,,,114.0,,,I
31,2021-10-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,598.0,653.0,811.0,,440.0,38.2,1842.0,,687.0,,1155.0,1343.0,,,132.0,,,I
32,2021-09-01,30,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,808.0,338.0,548.0,,598.0,39.1,3081.0,,1285.0,,1796.0,1262.0,,,2.0,,,C
33,2021-08-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,724.0,732.0,648.0,,808.0,38.7,2915.0,,1320.0,,1595.0,1274.0,,,,,,
34,2021-07-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,599.0,1081.0,956.0,,724.0,38.1,2267.0,,863.0,,1404.0,1268.0,,,162.0,,,C
35,2021-06-01,30,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,866.0,497.0,764.0,,599.0,38.4,3105.0,,1327.0,,1778.0,1283.0,,,280.0,,,C
36,2021-05-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,526.0,1157.0,817.0,,866.0,39.3,2677.0,,925.0,,1752.0,1308.0,,,158.0,,,C
37,2021-04-01,23,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,472.0,592.0,538.0,,526.0,39.8,1440.0,,452.0,,988.0,1322.0,,,122.0,,,C
38,2021-03-01,22,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,307.0,660.0,495.0,,472.0,39.9,371.0,,99.0,,272.0,1310.0,,,33.0,,,C
39,2021-02-01,0,SI,NOBLE ENERGY INC,123,37493,0,NIOBRARA,566.0,,259.0,,307.0,40.0,,,,,,,,,,,,
40,2021-01-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,379.0,727.0,540.0,,566.0,39.8,337.0,,145.0,,192.0,1307.0,,,14.0,,,C
41,2020-12-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,289.0,406.0,316.0,,379.0,39.6,1703.0,,994.0,,709.0,1323.0,,,104.0,,,C
42,2020-11-01,26,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,343.0,375.0,429.0,,289.0,39.4,3338.0,,1223.0,,2115.0,1202.0,,,6.0,,,C
43,2020-10-01,30,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,160.0,503.0,320.0,,343.0,38.9,1006.0,,384.0,,622.0,1215.0,,,36.0,,,C
44,2020-09-01,9,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,678.0,185.0,703.0,,160.0,39.5,372.0,,210.0,,162.0,722.0,,,45.0,,,C
45,2020-08-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,297.0,931.0,550.0,,678.0,39.2,2105.0,,1198.0,,907.0,769.0,,,11.0,,,C
46,2020-07-01,30,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,237.0,388.0,328.0,,297.0,38.9,1220.0,,695.0,,525.0,721.0,,,49.0,,,C
47,2020-06-01,10,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,423.0,94.0,280.0,,237.0,38.3,704.0,,396.0,,308.0,724.0,,,11.0,,,C
48,2020-05-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,341.0,386.0,304.0,,423.0,39.0,82.0,,46.0,,36.0,682.0,,,29.0,,,C
49,2020-04-01,28,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,311.0,311.0,281.0,,341.0,45.1,102.0,,102.0,,,1000.0,,,24.0,,,C
50,2020-03-01,15,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,302.0,182.0,174.0,1.0,311.0,39.6,87.0,,87.0,,,1000.0,,,16.0,,,C
51,2020-02-01,0,SI,NOBLE ENERGY INC,123,37493,0,NIOBRARA,302.0,,,,302.0,,,,,,,1000.0,,,,,,
52,2020-01-01,0,SI,NOBLE ENERGY INC,123,37493,0,NIOBRARA,302.0,,,,302.0,,,,,,,1000.0,,,,,,
53,2019-12-01,8,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,295.0,42.0,35.0,,302.0,39.9,,,,,,,,,40.0,,,C
54,2019-11-01,30,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,401.0,162.0,268.0,,295.0,38.7,,,,,,,,,80.0,,,C
55,2019-10-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,458.0,395.0,452.0,,401.0,38.8,,,,,,,,,179.0,,,C
56,2019-09-01,30,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,322.0,334.0,198.0,,458.0,38.2,,,,,,,,,82.0,,,C
57,2019-08-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,306.0,138.0,122.0,,322.0,39.1,,,,,,,,,1068.0,,,C
58,2019-07-01,31,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,355.0,454.0,503.0,,306.0,38.4,75.0,,,,75.0,1356.0,,,403.0,,,C
59,2019-06-01,30,PR,NOBLE ENERGY INC,123,37493,0,NIOBRARA,402.0,457.0,504.0,,355.0,37.7,909.0,,,,909.0,1333.0,,,119.0,,,C
