,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2024-05-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,97.0,252.0,251.0,-1.0,97.0,39.3,2006.0,,203.0,-23.0,1826.0,1326.0,,,63.0,,,C
1,2024-04-01,30,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,128.0,255.0,286.0,,97.0,39.3,2040.0,,214.0,-57.0,1883.0,1321.0,,,45.0,,,C
2,2024-03-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,148.0,306.0,325.0,-1.0,128.0,39.8,1939.0,,213.0,,1726.0,1403.0,,,59.0,,,C
3,2024-02-01,29,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,125.0,402.0,380.0,1.0,148.0,39.0,2360.0,,237.0,,2123.0,1336.0,,,97.0,,,C
4,2024-01-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,115.0,367.0,357.0,,125.0,39.9,2545.0,,263.0,,2282.0,1326.0,,,78.0,,,C
5,2023-12-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,128.0,371.0,384.0,,115.0,39.1,2562.0,,238.0,,2324.0,1332.0,,,64.0,,,C
6,2023-11-01,30,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,118.0,407.0,397.0,,128.0,39.8,2724.0,,280.0,,2444.0,1326.0,,,62.0,,,C
7,2023-10-01,30,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,105.0,327.0,314.0,,118.0,39.6,2851.0,,162.0,,2689.0,1353.0,,,93.0,,,C
8,2023-09-01,30,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,105.0,322.0,322.0,,105.0,0.2,3255.0,,49.0,,3206.0,1372.0,,,109.0,,,C
9,2023-08-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,98.0,320.0,313.0,,105.0,0.1,3561.0,,54.0,,3507.0,1374.0,,,99.0,,,C
10,2023-07-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,112.0,309.0,324.0,1.0,98.0,38.4,3199.0,,161.0,,3038.0,1346.0,,,100.0,,,C
11,2023-06-01,30,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,147.0,289.0,324.0,,112.0,0.3,1562.0,,,,1562.0,1358.0,,,21.0,,,C
12,2023-05-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,89.0,322.0,264.0,,147.0,0.6,1975.0,,,,1975.0,1349.0,,,49.0,,,M
13,2023-04-01,30,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,80.0,281.0,272.0,,89.0,1.0,1815.0,,,,1815.0,1351.0,,,27.0,,,I
14,2023-03-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,82.0,250.0,252.0,,80.0,42.1,1754.0,,,,1754.0,1349.0,,,30.0,,,I
15,2023-02-01,28,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,90.0,237.0,245.0,,82.0,42.9,1684.0,,,,1684.0,1347.0,,,16.0,,,I
16,2023-01-01,28,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,109.0,288.0,306.0,-1.0,90.0,40.8,2246.0,,,,2246.0,1346.0,,,16.0,,,I
17,2022-12-01,27,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,117.0,232.0,240.0,,109.0,40.9,2463.0,,366.0,,2097.0,1346.0,,,14.0,,,I
18,2022-11-01,30,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,128.0,356.0,367.0,,117.0,39.2,2987.0,,460.0,,2527.0,1345.0,,,27.0,,,I
19,2022-10-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,116.0,411.0,399.0,,128.0,39.2,3363.0,,497.0,,2866.0,1343.0,,,24.0,,,I
20,2022-09-01,30,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,109.0,388.0,381.0,,116.0,39.3,3487.0,,478.0,,3009.0,1337.0,,,25.0,,,I
21,2022-08-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,102.0,423.0,416.0,,109.0,37.9,3560.0,,418.0,,3142.0,1337.0,,,40.0,,,I
22,2022-07-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,108.0,423.0,429.0,,102.0,39.0,3570.0,,376.0,,3194.0,1349.0,,,24.0,,,I
23,2022-06-01,30,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,114.0,470.0,477.0,1.0,108.0,38.8,3907.0,,404.0,,3503.0,1346.0,,,56.0,,,I
24,2022-05-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,108.0,498.0,492.0,,114.0,38.6,3950.0,,405.0,,3545.0,1353.0,,,58.0,,,I
25,2022-04-01,30,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,104.0,514.0,510.0,,108.0,38.5,4046.0,,419.0,,3627.0,1346.0,,,50.0,,,I
26,2022-03-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,113.0,516.0,525.0,,104.0,41.9,5028.0,,396.0,,4632.0,1346.0,,,46.0,,,I
27,2022-02-01,28,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,114.0,422.0,423.0,,113.0,41.9,3365.0,,381.0,,2984.0,1346.0,,,44.0,,,I
28,2022-01-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,134.0,477.0,498.0,1.0,114.0,39.7,2914.0,,380.0,,2534.0,1342.0,,,46.0,,,I
29,2021-12-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,136.0,589.0,591.0,,134.0,39.4,3605.0,,400.0,,3205.0,1342.0,,,83.0,,,I
30,2021-11-01,29,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,126.0,546.0,536.0,,136.0,38.7,3157.0,,169.0,,2988.0,1343.0,,,67.0,,,I
31,2021-10-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,122.0,616.0,612.0,,126.0,39.0,3683.0,,400.0,,3283.0,1343.0,,,81.0,,,I
32,2021-09-01,30,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,113.0,648.0,639.0,,122.0,39.7,3561.0,,314.0,,3247.0,1351.0,,,87.0,,,C
33,2021-08-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,90.0,570.0,547.0,,113.0,39.4,3323.0,,360.0,,2963.0,1361.0,,,65.0,,,C
34,2021-07-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,135.0,451.0,496.0,,90.0,39.4,2549.0,,268.0,,2281.0,1348.0,,,42.0,,,C
35,2021-06-01,30,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,125.0,668.0,658.0,,135.0,39.3,3671.0,,392.0,,3279.0,1363.0,,,93.0,,,C
36,2021-05-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,134.0,730.0,739.0,,125.0,40.2,3722.0,,386.0,,3336.0,1345.0,,,118.0,,,C
37,2021-04-01,30,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,121.0,736.0,723.0,,134.0,40.2,3596.0,,406.0,,3190.0,1343.0,,,115.0,,,C
38,2021-03-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,121.0,702.0,702.0,,121.0,40.9,3709.0,,410.0,,3299.0,1305.0,,,98.0,,,C
39,2021-02-01,28,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,123.0,594.0,596.0,,121.0,41.2,3370.0,,426.0,,2944.0,1338.0,,,65.0,,,C
40,2021-01-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,149.0,842.0,868.0,,123.0,40.8,2030.0,,225.0,,1805.0,1365.0,,,113.0,,,C
41,2020-12-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,116.0,930.0,897.0,,149.0,40.3,1570.0,,170.0,,1400.0,1366.0,,,133.0,,,C
42,2020-11-01,30,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,131.0,779.0,794.0,,116.0,40.5,1521.0,,166.0,,1355.0,1353.0,,,153.0,,,C
43,2020-10-01,31,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,155.0,942.0,966.0,,131.0,39.8,1669.0,,183.0,,1486.0,1335.0,,,186.0,,,C
44,2020-09-01,30,PR,NOBLE ENERGY INC,123,42977,0,NIOBRARA,102.0,1041.0,988.0,,155.0,38.9,1834.0,,201.0,,1633.0,1339.0,,,151.0,,,C
