,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2024-05-01,11,PR,NOBLE ENERGY INC,123,37470,0,NIOBRARA,88.0,76.0,127.0,,37.0,40.0,62.0,,11.0,-1.0,52.0,1326.0,,,12.0,,,C
1,2024-04-01,0,SI,NOBLE ENERGY INC,123,37470,0,NIOBRARA,88.0,,,,88.0,,,,,,,,,,,,,
2,2024-03-01,12,PR,NOBLE ENERGY INC,123,37470,0,NIOBRARA,100.0,99.0,111.0,,88.0,40.3,65.0,,32.0,,33.0,1404.0,,,31.0,,,C
3,2024-02-01,28,PR,NOBLE ENERGY INC,123,37470,0,NIOBRARA,114.0,143.0,156.0,-1.0,100.0,41.8,96.0,,30.0,,66.0,1336.0,,,35.0,,,C
4,2024-01-01,20,PR,NOBLE ENERGY INC,123,37470,0,NIOBRARA,112.0,111.0,109.0,,114.0,39.5,37.0,,20.0,,17.0,1326.0,,,39.0,,,C
5,2023-12-01,31,PR,NOBLE ENERGY INC,123,37470,0,NIOBRARA,123.0,169.0,179.0,-1.0,112.0,39.8,51.0,,29.0,,22.0,1333.0,,,118.0,,,C
6,2023-11-01,30,PR,NOBLE ENERGY INC,123,37470,0,NIOBRARA,122.0,211.0,210.0,,123.0,40.9,109.0,,30.0,,79.0,1326.0,,,58.0,,,C
7,2023-10-01,31,PR,NOBLE ENERGY INC,123,37470,0,NIOBRARA,116.0,276.0,270.0,,122.0,40.7,91.0,,31.0,,60.0,1352.0,,,54.0,,,C
8,2023-09-01,29,PR,NOBLE ENERGY INC,123,37470,0,NIOBRARA,112.0,84.0,80.0,,116.0,39.4,77.0,,27.0,,50.0,1372.0,,,18.0,,,C
9,2023-08-01,15,PR,NOBLE ENERGY INC,123,37470,0,NIOBRARA,133.0,138.0,159.0,,112.0,39.3,71.0,,31.0,,40.0,1374.0,,,37.0,,,C
10,2023-07-01,31,PR,NOBLE ENERGY INC,123,37470,0,NIOBRARA,152.0,288.0,307.0,,133.0,38.9,127.0,,27.0,,100.0,1346.0,,,146.0,,,C
11,2023-06-01,30,PR,NOBLE ENERGY INC,123,37470,0,NIOBRARA,102.0,336.0,287.0,1.0,152.0,38.9,89.0,,17.0,,72.0,1357.0,,,87.0,,,C
12,2023-05-01,31,PR,NOBLE ENERGY INC,123,37470,0,NIOBRARA,92.0,305.0,295.0,,102.0,39.9,142.0,,30.0,,112.0,1349.0,,,155.0,,,M
13,2023-04-01,30,PR,NOBLE ENERGY INC,123,37470,0,NIOBRARA,71.0,286.0,265.0,,92.0,40.0,371.0,,80.0,,291.0,1351.0,,,179.0,,,I
