,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2024-05-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,37877,0,NIOBRARA,37.0,157.0,163.0,,31.0,39.0,757.0,,3.0,,754.0,1345.0,,,633.0,,,M
1,2024-04-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,37877,0,NIOBRARA,38.0,108.0,109.0,,37.0,39.0,398.0,,1.0,,397.0,1345.0,,,641.0,,,M
2,2024-03-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,37877,0,NIOBRARA,39.0,182.0,183.0,,38.0,43.0,448.0,3.0,1.0,,444.0,1349.0,,,728.0,,,M
3,2024-02-01,28,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,37877,0,NIOBRARA,27.0,139.0,127.0,,39.0,43.0,360.0,,1.0,,359.0,1339.0,,,646.0,,,M
4,2024-01-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,37877,0,NIOBRARA,39.0,123.0,135.0,,27.0,43.0,419.0,,1.0,,418.0,1344.0,,,641.0,,,M
5,2023-12-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,37877,0,NIOBRARA,15.0,162.0,138.0,,39.0,40.0,509.0,,1.0,,508.0,1342.0,,,643.0,,,M
6,2023-11-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,37877,0,NIOBRARA,38.0,87.0,110.0,,15.0,40.0,645.0,4.0,2.0,,639.0,1352.0,,,554.0,,,M
7,2023-10-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,37877,0,NIOBRARA,17.0,285.0,264.0,,38.0,40.0,872.0,7.0,2.0,,863.0,1350.0,,,601.0,,,M
8,2023-09-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,37877,0,NIOBRARA,28.0,122.0,133.0,,17.0,40.0,984.0,,2.0,,982.0,1338.0,,,561.0,,,M
9,2023-08-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,37877,0,NIOBRARA,36.0,163.0,171.0,,28.0,40.0,776.0,,1.0,,775.0,1344.0,,,347.0,,,M
10,2023-07-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,37877,0,NIOBRARA,48.0,143.0,155.0,,36.0,40.0,164.0,7.0,,,157.0,1370.0,,,88.0,,,M
11,2023-06-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,37877,0,NIOBRARA,59.0,227.0,238.0,,48.0,39.0,1702.0,,4.0,,1698.0,1364.0,,,124.0,,,M
