,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2024-05-01,31,PR,VERDAD RESOURCES LLC,123,39444,0,NIOBRARA,399.0,140.0,302.0,,237.0,36.0,703.0,,549.0,,154.0,1370.0,,,212.0,,,M
1,2024-04-01,30,PR,VERDAD RESOURCES LLC,123,39444,0,NIOBRARA,281.0,118.0,,,399.0,,531.0,,503.0,,28.0,1178.0,,,123.0,,,M
2,2024-03-01,29,PR,VERDAD RESOURCES LLC,123,39444,0,NIOBRARA,312.0,99.0,130.0,,281.0,37.0,524.0,,498.0,,26.0,1179.0,,,298.0,,,M
3,2024-02-01,29,PR,VERDAD RESOURCES LLC,123,39444,0,NIOBRARA,166.0,146.0,,,312.0,,537.0,,500.0,,37.0,1176.0,,,406.0,,,M
4,2024-01-01,8,PR,VERDAD RESOURCES LLC,123,39444,0,NIOBRARA,139.0,27.0,,,166.0,,173.0,,141.0,,32.0,1215.0,,,134.0,,,M
5,2023-12-01,0,SI,VERDAD RESOURCES LLC,123,39444,0,NIOBRARA,139.0,,,,139.0,,,,,,,,,,,,,
6,2023-11-01,21,PR,VERDAD RESOURCES LLC,123,39444,0,NIOBRARA,309.0,91.0,261.0,,139.0,37.0,1012.0,,457.0,,555.0,1202.0,,,64.0,,,M
7,2023-10-01,31,PR,VERDAD RESOURCES LLC,123,39444,0,NIOBRARA,232.0,141.0,64.0,,309.0,36.0,1092.0,,592.0,,500.0,1202.0,,,128.0,,,M
8,2023-09-01,30,PR,VERDAD RESOURCES LLC,123,39444,0,NIOBRARA,253.0,125.0,146.0,,232.0,37.9,948.0,,536.0,,412.0,1189.0,,,121.0,,,M
9,2023-08-01,24,PR,VERDAD RESOURCES LLC,123,39444,0,NIOBRARA,200.0,114.0,61.0,,253.0,38.0,735.0,,335.0,,400.0,1200.0,,,46.0,,,M
10,2023-07-01,31,PR,VERDAD RESOURCES LLC,123,39444,0,NIOBRARA,226.0,150.0,176.0,,200.0,37.5,983.0,,547.0,,436.0,1199.0,,,107.0,,,M
