,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2024-05-01,30,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,132.0,130.0,191.0,,71.0,38.9,,,,,,,,,313.0,,,M
1,2024-04-01,24,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,158.0,111.0,137.0,,132.0,37.0,,,,,,,,,191.0,,,M
2,2024-03-01,25,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,93.0,65.0,,,158.0,,31.0,,,,31.0,1302.0,,,156.0,,,M
3,2024-02-01,29,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,158.0,78.0,143.0,,93.0,38.1,,,,,,,,,206.0,,,M
4,2024-01-01,24,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,116.0,42.0,,,158.0,,,,,,,,,,115.0,,,M
5,2023-12-01,27,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,148.0,17.0,49.0,,116.0,38.3,,,,,,,,,628.0,,,M
6,2023-11-01,25,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,169.0,62.0,83.0,,148.0,40.0,45.0,,,,45.0,1302.0,,,232.0,,,M
7,2023-10-01,31,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,124.0,88.0,43.0,,169.0,38.4,20.0,,,,20.0,1302.0,,,98.0,,,M
8,2023-09-01,30,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,132.0,89.0,97.0,,124.0,39.2,3.0,,,,3.0,1302.0,,,139.0,,,M
9,2023-08-01,19,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,161.0,69.0,98.0,,132.0,40.2,2.0,,,,2.0,1302.0,,,82.0,,,M
10,2023-07-01,29,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,155.0,97.0,91.0,,161.0,40.2,138.0,,24.0,,114.0,1325.0,,,101.0,,,M
11,2023-06-01,29,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,130.0,111.0,86.0,,155.0,40.2,257.0,,18.0,,239.0,1325.0,,,144.0,,,M
12,2023-05-01,31,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,166.0,156.0,192.0,,130.0,40.86,261.0,,,,261.0,1346.0,,,157.0,,,M
13,2023-04-01,27,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,149.0,105.0,88.0,,166.0,39.6,103.0,,12.0,,91.0,1346.0,,,405.0,,,M
14,2023-03-01,1,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,149.0,,,,149.0,,,,,,,,,,12.0,,,M
15,2023-02-01,16,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,176.0,27.0,54.0,,149.0,39.0,,,,,,1317.0,,,30.0,,,M
16,2023-01-01,25,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,115.0,61.0,,,176.0,,,,,,,1317.0,,,72.0,,,M
17,2022-12-01,24,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,88.0,51.0,24.0,,115.0,40.21,,,,,,1317.0,,,73.0,,,M
18,2022-11-01,30,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,112.0,58.0,82.0,,88.0,40.3,,,,,,1317.0,,,77.0,,,M
19,2022-10-01,31,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,98.0,72.0,58.0,,112.0,39.9,,,,,,1317.0,,,105.0,,,M
20,2022-09-01,11,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,126.0,55.0,83.0,,98.0,39.1,,,,,,,,,68.0,,,M
21,2022-08-01,28,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,125.0,53.0,52.0,,126.0,39.5,,,,,,,,,68.0,,,M
22,2022-07-01,31,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,134.0,46.0,55.0,,125.0,39.4,,,,,,,,,107.0,,,M
23,2022-06-01,30,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,127.0,92.0,85.0,,134.0,40.2,,,,,,,,,103.0,,,M
24,2022-05-01,31,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,67.0,113.0,53.0,,127.0,39.7,,,,,,,,,152.0,,,M
25,2022-04-01,27,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,80.0,3.0,16.0,,67.0,43.1,,,,,,,,,58.0,,,M
26,2022-03-01,27,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,65.0,66.0,51.0,,80.0,42.25,,,,,,,,,125.0,,,M
27,2022-02-01,21,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,87.0,69.0,91.0,,65.0,41.04534,,,,,,,,,126.0,,,M
28,2022-01-01,31,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,95.0,43.0,51.0,,87.0,40.7,,,,,,,,,22.0,,,M
29,2021-12-01,30,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,151.0,44.0,100.0,,95.0,40.0,,,,,,,,,88.0,,,M
30,2021-11-01,30,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,168.0,102.0,146.0,,124.0,39.92,,,,,,,,,71.0,,,M
31,2021-10-01,31,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,130.0,91.0,53.0,,168.0,40.27,,,,,,,,,136.0,,,M
32,2021-09-01,30,PR,RED HAWK PETROLEUM LLC,123,39927,0,NIOBRARA,142.0,61.0,73.0,,130.0,39.19,,,,,,,,,139.0,,,M
