,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2024-05-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,44464,0,CARLILE-CODELL-FORT HAYS,31.0,497.0,477.0,,51.0,37.0,1867.0,,,,1867.0,1294.0,,,402.0,,,M
1,2024-04-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,44464,0,CARLILE-CODELL-FORT HAYS,43.0,426.0,438.0,,31.0,37.0,797.0,,,,797.0,1294.0,,,531.0,,,M
2,2024-03-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,44464,0,CARLILE-CODELL-FORT HAYS,44.0,508.0,509.0,,43.0,37.0,325.0,,,,325.0,1313.0,,,1311.0,,,M
3,2024-02-01,29,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,44464,0,CARLILE-CODELL-FORT HAYS,48.0,685.0,689.0,,44.0,37.0,527.0,,,,527.0,1305.0,,,1288.0,,,M
4,2024-01-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,44464,0,CARLILE-CODELL-FORT HAYS,39.0,610.0,601.0,,48.0,37.0,927.0,,,,927.0,1343.0,,,941.0,,,M
5,2023-12-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,44464,0,CARLILE-CODELL-FORT HAYS,40.0,313.0,314.0,,39.0,39.0,991.0,,,,991.0,1568.0,,,1400.0,,,M
6,2023-11-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,44464,0,CARLILE-CODELL-FORT HAYS,31.0,279.0,270.0,,40.0,39.0,1207.0,,,,1207.0,1520.0,,,1771.0,,,M
7,2023-10-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,44464,0,CARLILE-CODELL-FORT HAYS,38.0,415.0,422.0,,31.0,39.0,1990.0,9.0,,,1981.0,1325.0,,,904.0,,,M
8,2023-09-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,44464,0,CARLILE-CODELL-FORT HAYS,39.0,417.0,418.0,,38.0,39.0,1493.0,61.0,,,1432.0,1327.0,,,1528.0,,,M
9,2023-08-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,44464,0,CARLILE-CODELL-FORT HAYS,34.0,441.0,436.0,,39.0,38.0,1423.0,,,,1423.0,1318.0,,,2380.0,,,M
