,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2024-05-01,31,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,17.0,1109.0,1103.0,,23.0,33.7,1525.0,,143.0,,1382.0,1343.0,,,1181.0,,,M
1,2024-03-01,31,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,14.0,1169.0,1171.0,,12.0,33.7,1787.0,,148.0,,1639.0,1358.0,,,1422.0,,,M
2,2024-02-01,29,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,34.0,1152.0,1173.0,1.0,14.0,33.7,1530.0,,138.0,,1392.0,1318.0,,,1385.0,,,M
3,2024-01-01,31,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,13.0,1362.0,1341.0,,34.0,33.7,1136.0,,140.0,,996.0,1373.0,,,1448.0,,,M
4,2023-12-01,31,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,44.0,1367.0,1398.0,,13.0,35.4,1074.0,,146.0,,928.0,1326.0,,,1719.0,,,M
5,2023-11-01,23,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,33.0,2139.0,2128.0,,44.0,35.4,784.0,,105.0,,679.0,1311.0,,,1499.0,,,M
6,2023-10-01,0,SI,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,35.0,,2.0,,33.0,35.4,,,,,,,,,,,,
7,2023-09-01,27,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,37.0,1071.0,1073.0,,35.0,35.4,432.0,,125.0,,307.0,1271.0,,,1495.0,,,M
8,2023-08-01,31,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,36.0,1472.0,1470.0,-1.0,37.0,35.4,138.0,,138.0,,,1000.0,,,1814.0,,,M
9,2023-07-01,24,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,118.0,1984.0,2066.0,,36.0,35.4,1068.0,,115.0,,953.0,1322.0,,,68.0,,,M
10,2023-06-01,30,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,51.0,2657.0,2590.0,,118.0,36.0,1223.0,,143.0,,1080.0,1341.0,,,,,,
11,2023-05-01,31,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,69.0,3240.0,3258.0,,51.0,36.0,1084.0,,140.0,,944.0,1369.0,,,2.0,,,M
12,2023-04-01,30,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,42.0,3824.0,3798.0,1.0,69.0,36.0,1018.0,,142.0,,876.0,1337.0,,,53.0,,,M
13,2023-03-01,9,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,,2485.0,2443.0,,42.0,36.0,575.0,,42.0,,533.0,1360.0,,,,,,
14,2023-02-01,0,SI,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,23.0,,23.0,,,34.6,,,,,,,,,,,,
15,2023-01-01,24,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,24.0,1267.0,1268.0,,23.0,34.6,101.0,,101.0,,,1000.0,,,691.0,,,M
16,2022-12-01,31,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,46.0,1006.0,1029.0,1.0,24.0,34.6,185.0,,185.0,,,1000.0,,,15.0,,,M
17,2022-11-01,30,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,21.0,2683.0,2658.0,,46.0,34.6,905.0,,181.0,,724.0,1302.0,,,788.0,,,M
18,2022-10-01,31,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,44.0,1227.0,1251.0,1.0,21.0,34.6,619.0,,183.0,,436.0,1279.0,,,638.0,,,M
19,2022-09-01,30,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,9.0,1044.0,980.0,,73.0,34.6,260.0,,181.0,,79.0,1115.0,,,5321.0,,,M
20,2022-08-01,24,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,,784.0,775.0,,9.0,34.6,142.0,,142.0,,,1000.0,,,4842.0,,,M
21,2022-07-01,1,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,,2.0,2.0,,,39.7,,,,,,,,,10.0,,,M
22,2022-06-01,5,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,8.0,5.0,12.0,-1.0,,36.8,,,,,,,,,,,,M
23,2022-05-01,19,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,8.0,1335.0,1335.0,,8.0,40.0,1114.0,,107.0,,1007.0,1411.0,,,2815.0,,,M
24,2022-04-01,29,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,11.0,1260.0,1263.0,,8.0,40.0,1327.0,,175.0,,1152.0,1403.0,,,3074.0,,,M
25,2022-03-01,31,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,10.0,1472.0,1471.0,,11.0,40.0,1424.0,,188.0,,1236.0,1446.0,,,4096.0,,,M
26,2022-02-01,28,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,9.0,1356.0,1355.0,,10.0,34.9,1901.0,,26.0,,1875.0,1341.0,,,4672.0,,,M
27,2022-01-01,31,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,8.0,1562.0,1561.0,,9.0,35.5,1361.0,,18.0,,1343.0,1341.0,,,6027.0,,,M
28,2021-12-01,31,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,5.0,1029.0,1026.0,,8.0,35.1,445.0,,9.0,,436.0,1341.0,,,4451.0,,,M
29,2021-11-01,16,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,,264.0,259.0,,5.0,36.2,2.0,,2.0,,,,,,1931.0,,,M
30,2021-10-01,0,SI,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,,,,,,,,,,,,,,,,,,
31,2021-09-01,0,SI,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,,,,,,,,,,,,,,,,,,
32,2021-08-01,0,SI,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,65.0,,,-65.0,,,,,,,,,,,,,,
33,2021-07-01,26,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,188.0,82.0,205.0,,65.0,30.9,,,,,,,,,51.0,,,M
34,2021-06-01,30,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,289.0,145.0,247.0,1.0,188.0,36.5,121.0,,121.0,,,1388.0,,,173.0,,,M
35,2021-05-01,29,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,315.0,2067.0,2093.0,,289.0,39.6,6813.0,,117.0,,6696.0,1388.0,,,1103.0,,,M
36,2021-04-01,30,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,287.0,2618.0,2589.0,-1.0,315.0,36.2,10119.0,,121.0,,9998.0,1381.0,,,1144.0,,,M
37,2021-03-01,31,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,298.0,2590.0,2601.0,,287.0,35.0,10522.0,,125.0,,10397.0,1443.0,,,1096.0,,,M
38,2021-02-01,28,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,287.0,1935.0,1924.0,,298.0,35.5,8656.0,,280.0,,8376.0,1373.0,,,1069.0,,,M
39,2021-01-01,30,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,261.0,3203.0,3177.0,,287.0,35.2,9272.0,,90.0,,9182.0,1402.0,,,4137.0,,,M
40,2020-12-01,29,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,272.0,3040.0,3051.0,,261.0,34.2,10235.0,,145.0,,10090.0,1422.0,,,1324.0,,,M
41,2020-11-01,29,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,321.0,3583.0,3632.0,,272.0,34.8,10561.0,,145.0,,10416.0,1266.0,,,1546.0,,,M
42,2020-10-01,29,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,296.0,3821.0,3796.0,,321.0,34.5,11352.0,,145.0,,11207.0,1397.0,,,1696.0,,,M
43,2020-09-01,29,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,317.0,4617.0,4638.0,,296.0,33.7,12195.0,,145.0,,12050.0,1411.0,,,1937.0,,,M
44,2020-08-01,29,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,690.0,4734.0,5107.0,,317.0,33.4,10682.0,,290.0,,10392.0,1411.0,,,1927.0,,,M
45,2020-07-01,31,PR,CIVITAS NORTH LLC,123,47188,0,NIOBRARA,468.0,5958.0,5736.0,,690.0,34.2,10220.0,,155.0,,10065.0,1406.0,,,1451.0,,,M
