,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2024-05-01,31,PR,NOBLE ENERGY INC,123,42633,0,NIOBRARA,149.0,310.0,264.0,,195.0,0.6,3811.0,,386.0,-44.0,3469.0,1326.0,,,96.0,,,C
1,2024-04-01,30,PR,NOBLE ENERGY INC,123,42633,0,NIOBRARA,100.0,231.0,183.0,1.0,149.0,0.9,4608.0,,482.0,-129.0,4255.0,1321.0,,,65.0,,,C
2,2024-03-01,31,PR,NOBLE ENERGY INC,123,42633,0,NIOBRARA,220.0,178.0,298.0,,100.0,1.4,4902.0,,539.0,,4363.0,1403.0,,,49.0,,,C
3,2024-02-01,29,PR,NOBLE ENERGY INC,123,42633,0,NIOBRARA,195.0,322.0,298.0,1.0,220.0,41.9,5932.0,,595.0,,5337.0,1336.0,,,60.0,,,C
4,2024-01-01,18,PR,NOBLE ENERGY INC,123,42633,0,NIOBRARA,281.0,200.0,286.0,,195.0,1.6,3062.0,,317.0,,2745.0,1326.0,,,32.0,,,C
5,2023-12-01,31,PR,NOBLE ENERGY INC,123,42633,0,NIOBRARA,354.0,421.0,493.0,-1.0,281.0,1.5,4658.0,,433.0,,4225.0,1332.0,,,54.0,,,C
6,2023-11-01,30,PR,NOBLE ENERGY INC,123,42633,0,NIOBRARA,,422.0,69.0,1.0,354.0,39.7,4195.0,,432.0,,3763.0,1326.0,,,84.0,,,C
7,2023-10-01,30,PR,NOBLE ENERGY INC,123,42633,0,NIOBRARA,12.0,,12.0,,,42.3,3665.0,,208.0,,3457.0,1353.0,,,51.0,,,C
8,2023-09-01,30,PR,NOBLE ENERGY INC,123,42633,0,NIOBRARA,215.0,18.0,221.0,,12.0,0.3,3781.0,,57.0,,3724.0,1372.0,,,47.0,,,C
9,2023-08-01,31,PR,NOBLE ENERGY INC,123,42633,0,NIOBRARA,199.0,342.0,327.0,1.0,215.0,0.1,3092.0,,47.0,,3045.0,1374.0,,,72.0,,,C
10,2023-07-01,31,PR,NOBLE ENERGY INC,123,42633,0,NIOBRARA,192.0,294.0,287.0,,199.0,0.1,3223.0,,162.0,,3061.0,1346.0,,,85.0,,,C
11,2023-06-01,30,PR,NOBLE ENERGY INC,123,42633,0,NIOBRARA,215.0,341.0,364.0,,192.0,0.4,4812.0,,1246.0,,3566.0,1358.0,,,106.0,,,C
12,2023-05-01,31,PR,NOBLE ENERGY INC,123,42633,0,NIOBRARA,192.0,365.0,343.0,1.0,215.0,39.6,3690.0,,924.0,,2766.0,1349.0,,,69.0,,,M
13,2023-04-01,30,PR,NOBLE ENERGY INC,123,42633,0,NIOBRARA,177.0,292.0,276.0,-1.0,192.0,40.0,3851.0,,1034.0,,2817.0,1351.0,,,41.0,,,C
14,2023-03-01,31,PR,NOBLE ENERGY INC,123,42633,0,NIOBRARA,202.0,271.0,296.0,,177.0,40.0,5138.0,,1406.0,,3732.0,1349.0,,,66.0,,,I
15,2023-02-01,26,PR,NOBLE ENERGY INC,123,42633,0,NIOBRARA,219.0,293.0,310.0,,202.0,41.4,3289.0,,957.0,,2332.0,1347.0,,,58.0,,,I
16,2023-01-01,31,PR,NOBLE ENERGY INC,123,42633,0,NIOBRARA,211.0,338.0,329.0,-1.0,219.0,40.7,3824.0,,951.0,,2873.0,1346.0,,,108.0,,,C
17,2022-12-01,18,PR,NOBLE ENERGY INC,123,42633,0,NIOBRARA,203.0,210.0,203.0,1.0,211.0,41.0,3040.0,,909.0,,2131.0,1346.0,,,36.0,,,I
