,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2024-05-01,31,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,1.0,28.0,28.0,,1.0,39.3,,,,,,,,,33.0,,,C
1,2024-04-01,28,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,2.0,28.0,29.0,,1.0,39.3,,,,,,,,,43.0,,,C
2,2024-03-01,31,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,4.0,63.0,65.0,,2.0,39.3,2374.0,,,,2374.0,1403.0,,,62.0,,,C
3,2024-02-01,29,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,4.0,105.0,104.0,-1.0,4.0,39.3,,,,,,,,,98.0,,,C
4,2024-01-01,25,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,4.0,89.0,89.0,,4.0,39.3,894.0,,,,894.0,1326.0,,,98.0,,,C
5,2023-12-01,31,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,3.0,127.0,126.0,,4.0,39.3,5475.0,,,,5475.0,1332.0,,,101.0,,,C
6,2023-11-01,28,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,4.0,99.0,100.0,,3.0,39.3,153.0,,,,153.0,1326.0,,,23.0,,,C
7,2023-10-01,31,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,7.0,119.0,122.0,,4.0,39.3,2828.0,,,,2828.0,1353.0,,,59.0,,,C
8,2023-09-01,30,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,20.0,132.0,145.0,,7.0,39.3,4409.0,,,,4409.0,1372.0,,,84.0,,,C
9,2023-08-01,31,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,4.0,123.0,108.0,1.0,20.0,39.3,5573.0,,,,5573.0,1374.0,,,107.0,,,C
10,2023-07-01,31,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,3.0,65.0,63.0,-1.0,4.0,39.3,409.0,,,,409.0,1346.0,,,34.0,,,C
11,2023-06-01,30,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,5.0,58.0,60.0,,3.0,39.3,,,,,,,,,18.0,,,C
12,2023-05-01,31,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,23.0,97.0,115.0,,5.0,39.3,896.0,,,,896.0,1349.0,,,22.0,,,M
13,2023-04-01,30,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,24.0,286.0,287.0,,23.0,39.3,3468.0,,,,3468.0,1351.0,,,111.0,,,I
14,2023-03-01,18,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,21.0,241.0,237.0,-1.0,24.0,40.5,6221.0,,1497.0,,4724.0,1349.0,,,148.0,,,I
15,2023-02-01,10,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,17.0,85.0,81.0,,21.0,39.3,2152.0,,1090.0,,1062.0,1347.0,,,45.0,,,I
16,2023-01-01,25,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,18.0,211.0,211.0,-1.0,17.0,39.3,3895.0,,1082.0,,2813.0,1346.0,,,175.0,,,C
17,2022-12-01,17,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,21.0,121.0,125.0,1.0,18.0,39.0,2324.0,,884.0,,1440.0,1346.0,,,172.0,,,I
18,2022-11-01,30,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,40.0,300.0,319.0,,21.0,39.3,3087.0,,233.0,,2854.0,1345.0,,,278.0,,,I
19,2022-10-01,31,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,29.0,235.0,223.0,-1.0,40.0,39.3,2925.0,,979.0,,1946.0,1343.0,,,1175.0,,,I
20,2022-09-01,30,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,20.0,114.0,106.0,1.0,29.0,39.3,1139.0,,619.0,,520.0,1337.0,,,902.0,,,I
21,2022-08-01,31,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,19.0,440.0,439.0,,20.0,39.3,1072.0,,274.0,,798.0,1337.0,,,400.0,,,I
22,2022-07-01,31,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,14.0,480.0,474.0,-1.0,19.0,39.3,4773.0,,1032.0,,3741.0,1349.0,,,221.0,,,I
23,2022-06-01,30,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,13.0,315.0,314.0,,14.0,39.2,3951.0,,680.0,,3271.0,1346.0,,,185.0,,,I
24,2022-05-01,30,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,25.0,369.0,381.0,,13.0,39.3,3737.0,,807.0,,2930.0,1353.0,,,262.0,,,I
25,2022-04-01,30,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,30.0,542.0,547.0,,25.0,39.3,4980.0,,987.0,,3993.0,1346.0,,,241.0,,,I
26,2022-03-01,31,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,38.0,575.0,583.0,,30.0,39.2,4195.0,,823.0,,3372.0,1346.0,,,296.0,,,I
27,2022-02-01,28,PR,NOBLE ENERGY INC,123,43494,0,NIOBRARA,19.0,441.0,422.0,,38.0,39.3,6058.0,,1448.0,,4610.0,1346.0,,,223.0,,,I
