,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2024-05-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,36121,0,NIOBRARA,5.0,100.0,95.0,,10.0,37.0,3286.0,,,,3286.0,1294.0,,,441.0,,,M
1,2024-04-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,36121,0,NIOBRARA,9.0,72.0,76.0,,5.0,37.0,4899.0,,,,4899.0,1294.0,,,393.0,,,M
2,2024-03-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,36121,0,NIOBRARA,13.0,103.0,107.0,,9.0,37.0,4183.0,3.0,,,4180.0,1313.0,,,592.0,,,M
3,2024-02-01,29,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,36121,0,NIOBRARA,13.0,208.0,208.0,,13.0,37.0,4033.0,,,,4033.0,1305.0,,,1451.0,,,M
4,2024-01-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,36121,0,NIOBRARA,10.0,163.0,160.0,,13.0,37.0,1174.0,,,,1174.0,1343.0,,,937.0,,,M
5,2023-12-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,36121,0,NIOBRARA,16.0,78.0,84.0,,10.0,39.0,422.0,,,,422.0,1568.0,,,992.0,,,M
6,2023-11-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,36121,0,NIOBRARA,19.0,110.0,113.0,,16.0,39.0,453.0,,,,453.0,1520.0,,,1173.0,,,M
7,2023-10-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,36121,0,NIOBRARA,26.0,256.0,263.0,,19.0,39.0,1471.0,6.0,,,1465.0,1325.0,,,177.0,,,M
8,2023-09-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,36121,0,NIOBRARA,26.0,281.0,281.0,,26.0,39.0,1368.0,56.0,,,1312.0,1327.0,,,49.0,,,M
9,2023-08-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,36121,0,NIOBRARA,23.0,288.0,285.0,,26.0,38.0,1260.0,,,,1260.0,1318.0,,,74.0,,,M
10,2023-07-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,36121,0,NIOBRARA,24.0,224.0,225.0,,23.0,39.0,1252.0,8.0,,,1244.0,1308.0,,,30.0,,,M
11,2023-06-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,36121,0,NIOBRARA,24.0,291.0,291.0,,24.0,38.0,1852.0,9.0,,,1843.0,1298.0,,,250.0,,,M
12,2023-05-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,36121,0,NIOBRARA,14.0,266.0,256.0,,24.0,40.0,1711.0,,,,1711.0,1405.0,,,295.0,,,M
13,2023-04-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,36121,0,NIOBRARA,1.0,266.0,253.0,,14.0,39.0,1927.0,,,,1927.0,1423.0,,,320.0,,,M
14,2023-03-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,36121,0,NIOBRARA,77.0,8.0,84.0,,1.0,40.0,2601.0,,,,2601.0,1406.0,,,280.0,,,M
15,2023-02-01,28,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,36121,0,NIOBRARA,66.0,643.0,632.0,,77.0,40.0,1892.0,48.0,,,1844.0,1363.0,,,723.0,,,M
