,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2024-05-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,50.0,205.0,185.0,,70.0,38.0,5378.0,,,,5378.0,1360.0,,,625.0,,,M
1,2024-04-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,66.0,119.0,135.0,,50.0,41.0,2240.0,,,,2240.0,1361.0,,,446.0,,,M
2,2024-03-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,31.0,206.0,171.0,,66.0,41.0,1988.0,1.0,,,1987.0,1360.0,,,436.0,,,M
3,2024-02-01,29,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,34.0,114.0,117.0,,31.0,41.0,1924.0,,,,1924.0,1360.0,,,570.0,,,M
4,2024-01-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,33.0,119.0,118.0,,34.0,39.0,2812.0,1.0,,,2811.0,1360.0,,,525.0,,,M
5,2023-12-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,29.0,113.0,109.0,,33.0,39.0,3067.0,,,,3067.0,1360.0,,,526.0,,,M
6,2023-11-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,32.0,107.0,110.0,,29.0,39.0,2229.0,15.0,,,2214.0,1361.0,,,511.0,,,M
7,2023-10-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,32.0,135.0,135.0,,32.0,38.0,2613.0,19.0,,,2594.0,1360.0,,,651.0,,,M
8,2023-09-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,38.0,145.0,151.0,,32.0,38.0,2262.0,,,,2262.0,1360.0,,,664.0,,,M
9,2023-08-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,43.0,116.0,121.0,,38.0,39.0,1801.0,3.0,,,1798.0,1360.0,,,745.0,,,M
10,2023-07-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,50.0,134.0,141.0,,43.0,38.0,302.0,1.0,,,301.0,1366.0,,,801.0,,,M
11,2023-06-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,33.0,143.0,126.0,,50.0,39.0,15.0,,,,15.0,1909.0,,,700.0,,,M
12,2023-05-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,85.0,145.0,197.0,,33.0,39.0,16.0,,,,16.0,1845.0,,,803.0,,,M
13,2023-04-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,60.0,187.0,162.0,,85.0,38.0,19.0,,,,19.0,1893.0,,,814.0,,,M
14,2023-03-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,55.0,154.0,149.0,,60.0,38.0,23.0,,,,23.0,1866.0,,,931.0,,,M
15,2023-02-01,28,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,33.0,136.0,114.0,,55.0,39.0,19.0,,,,19.0,1898.0,,,785.0,,,M
16,2023-01-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,34.0,152.0,153.0,,33.0,39.0,15.0,,,,15.0,1791.0,,,858.0,,,M
17,2022-12-01,27,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,35.0,128.0,129.0,,34.0,39.0,11.0,,,,11.0,1638.0,,,782.0,,,M
18,2022-11-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,31.0,128.0,124.0,,35.0,38.0,12.0,1.0,,,11.0,1720.0,,,878.0,,,M
19,2022-10-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,31.0,149.0,149.0,,31.0,38.0,8.0,,,,8.0,1802.0,,,969.0,,,M
20,2022-09-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,21.0,163.0,153.0,,31.0,38.0,18.0,,,,18.0,1959.0,,,694.0,,,M
21,2022-08-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,16.0,144.0,139.0,,21.0,38.0,17.0,,,,17.0,1966.0,,,891.0,,,M
22,2022-07-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,31.0,103.0,118.0,,16.0,38.0,17.0,,,,17.0,1851.0,,,1154.0,,,M
23,2022-06-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,45.0,146.0,160.0,,31.0,40.0,15.0,,,,15.0,1891.0,,,957.0,,,M
24,2022-05-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,58.0,218.0,231.0,,45.0,39.0,18.0,,,,18.0,1829.0,,,1428.0,,,M
25,2022-04-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,69.0,198.0,209.0,,58.0,38.0,14.0,,,,14.0,1647.0,,,1232.0,,,M
26,2022-03-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,50.0,348.0,329.0,,69.0,39.0,15.0,,,,15.0,1659.0,,,880.0,,,M
27,2022-02-01,28,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,59.0,225.0,234.0,,50.0,40.0,13.0,,,,13.0,1634.0,,,645.0,,,M
28,2022-01-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,46.0,264.0,251.0,,59.0,40.0,15.0,,,,15.0,1667.0,,,439.0,,,M
29,2021-12-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,58.0,235.0,247.0,,46.0,39.0,10.0,,,,10.0,1579.0,,,734.0,,,M
30,2021-11-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,38717,0,NIOBRARA,44.0,221.0,207.0,,58.0,38.0,9.0,,,,9.0,1635.0,,,929.0,,,M
31,2021-10-01,31,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,62.0,261.0,279.0,,44.0,38.1,19.0,9.0,,,10.0,1313.0,,,1123.0,,,M
32,2021-09-01,30,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,57.0,355.0,350.0,,62.0,38.5,19.0,,,,19.0,1594.0,,,1110.0,,,M
33,2021-08-01,28,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,22.0,349.0,314.0,,57.0,38.3,216.0,33.0,,,183.0,1332.0,,,1350.0,,,M
34,2021-07-01,21,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,43.0,188.0,209.0,,22.0,37.2,58.0,1.0,,,57.0,1361.0,,,1026.0,,,M
35,2021-06-01,30,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,18.0,255.0,230.0,,43.0,37.1,162.0,1.0,,,161.0,1321.0,,,1525.0,,,M
36,2021-05-01,31,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,45.0,162.0,189.0,,18.0,38.0,283.0,1.0,,,282.0,1305.0,,,1235.0,,,M
37,2021-04-01,30,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,37.0,151.0,143.0,,45.0,37.6,172.0,2.0,,,170.0,1307.0,,,988.0,,,M
38,2021-03-01,31,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,60.0,301.0,324.0,,37.0,36.6,7.0,,,,7.0,1361.0,,,774.0,,,M
39,2021-02-01,26,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,63.0,248.0,251.0,,60.0,37.1,416.0,71.0,,,345.0,1306.0,,,664.0,,,M
40,2021-01-01,31,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,63.0,345.0,345.0,,63.0,36.5,640.0,7.0,,,633.0,1306.0,,,1181.0,,,M
41,2020-12-01,31,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,58.0,274.0,269.0,,63.0,36.0,254.0,3.0,,,251.0,1307.0,,,1051.0,,,M
42,2020-11-01,30,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,60.0,269.0,271.0,,58.0,37.2,349.0,6.0,,,343.0,1306.0,,,900.0,,,M
43,2020-10-01,31,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,53.0,213.0,206.0,,60.0,37.1,862.0,29.0,,,833.0,1305.0,,,1212.0,,,M
44,2020-09-01,30,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,46.0,217.0,210.0,,53.0,35.4,2903.0,2.0,,,2901.0,1306.0,,,1067.0,,,M
45,2020-08-01,31,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,28.0,232.0,214.0,,46.0,36.3,4200.0,7.0,,,4193.0,1315.0,,,1047.0,,,M
46,2020-07-01,31,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,22.0,212.0,206.0,,28.0,36.7,3437.0,25.0,,,3412.0,1315.0,,,736.0,,,M
47,2020-06-01,28,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,75.0,237.0,290.0,,22.0,36.7,3078.0,37.0,,,3041.0,1315.0,,,857.0,,,M
48,2020-05-01,31,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,61.0,466.0,452.0,,75.0,35.8,1972.0,27.0,,,1945.0,1315.0,,,925.0,,,M
49,2020-04-01,30,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,38.0,432.0,409.0,,61.0,36.6,1671.0,1.0,,,1670.0,1315.0,,,1359.0,,,M
50,2020-03-01,31,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,24.0,335.0,321.0,,38.0,37.5,2263.0,20.0,,,2243.0,1315.0,,,1253.0,,,M
51,2020-02-01,29,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,23.0,223.0,222.0,,24.0,37.3,1764.0,1.0,,,1763.0,1315.0,,,1334.0,,,M
52,2020-01-01,31,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,35.0,163.0,175.0,,23.0,36.7,1602.0,1.0,,,1601.0,1315.0,,,1702.0,,,M
53,2019-12-01,31,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,58.0,436.0,459.0,,35.0,36.6,2569.0,,,,2569.0,1315.0,,,1541.0,,,M
54,2019-11-01,30,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,61.0,457.0,460.0,,58.0,37.0,2774.0,1.0,,,2773.0,1311.0,,,1513.0,,,M
55,2019-10-01,31,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,43.0,611.0,593.0,,61.0,37.2,3814.0,21.0,,,3793.0,1288.0,,,1884.0,,,M
56,2019-09-01,30,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,48.0,508.0,513.0,,43.0,35.8,3522.0,1.0,,,3521.0,1287.0,,,1665.0,,,M
57,2019-08-01,31,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,44.0,470.0,466.0,,48.0,36.4,2708.0,97.0,,,2611.0,1287.0,,,1758.0,,,M
58,2019-07-01,31,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,23.0,508.0,487.0,,44.0,36.2,2664.0,5.0,,,2659.0,1287.0,,,1916.0,,,M
59,2019-06-01,23,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,113.0,481.0,571.0,,23.0,36.0,2371.0,,,,2371.0,1288.0,,,1570.0,,,M
60,2019-05-01,19,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,36.0,552.0,475.0,,113.0,36.4,2789.0,1.0,,,2788.0,1288.0,,,1765.0,,,M
61,2019-04-01,20,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,54.0,572.0,590.0,,36.0,37.1,3048.0,,,,3048.0,1288.0,,,2110.0,,,M
62,2019-03-01,24,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,59.0,633.0,638.0,,54.0,36.7,3381.0,8.0,,,3373.0,1287.0,,,2261.0,,,M
63,2019-02-01,21,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,39.0,570.0,550.0,,59.0,36.7,2305.0,87.0,,,2218.0,1288.0,,,1413.0,,,M
64,2019-01-01,31,PR,WHITING OIL & GAS CORPORATION,123,38717,0,NIOBRARA,66.0,650.0,677.0,,39.0,36.8,3661.0,,,,3661.0,1288.0,,,2292.0,,,M
