,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2024-05-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,498.0,1407.0,1362.0,1.0,544.0,39.3,6216.0,,629.0,-72.0,5659.0,1326.0,,,103.0,,,C
1,2024-04-01,30,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,662.0,1314.0,1477.0,-1.0,498.0,39.3,4626.0,,484.0,-130.0,4272.0,1321.0,,,102.0,,,C
2,2024-03-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,571.0,1580.0,1489.0,,662.0,39.8,4937.0,,543.0,,4394.0,1403.0,,,136.0,,,C
3,2024-02-01,29,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,535.0,1554.0,1518.0,,571.0,39.0,6329.0,,635.0,,5694.0,1336.0,,,215.0,,,C
4,2024-01-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,612.0,1567.0,1644.0,,535.0,39.9,6269.0,,649.0,,5620.0,1326.0,,,174.0,,,C
5,2023-12-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,565.0,1974.0,1926.0,-1.0,612.0,39.1,6345.0,,590.0,,5755.0,1332.0,,,260.0,,,C
6,2023-11-01,30,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,638.0,1794.0,1867.0,,565.0,39.8,6120.0,,630.0,,5490.0,1326.0,,,370.0,,,C
7,2023-10-01,30,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,614.0,1772.0,1748.0,,638.0,39.6,5569.0,,317.0,,5252.0,1353.0,,,544.0,,,C
8,2023-09-01,30,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,685.0,1892.0,1963.0,,614.0,0.2,5882.0,,89.0,,5793.0,1372.0,,,393.0,,,C
9,2023-08-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,698.0,2096.0,2109.0,,685.0,0.1,5266.0,,79.0,,5187.0,1374.0,,,449.0,,,C
10,2023-07-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,829.0,2213.0,2345.0,1.0,698.0,38.4,5029.0,,253.0,,4776.0,1346.0,,,480.0,,,C
11,2023-06-01,30,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,1144.0,2144.0,2460.0,1.0,829.0,0.3,5048.0,,,,5048.0,1358.0,,,300.0,,,C
12,2023-05-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,744.0,2509.0,2109.0,,1144.0,0.6,4180.0,,,,4180.0,1349.0,,,231.0,,,M
13,2023-04-01,30,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,761.0,2353.0,2370.0,,744.0,1.0,4355.0,,,,4355.0,1351.0,,,189.0,,,I
14,2023-03-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,571.0,2388.0,2199.0,1.0,761.0,42.1,5180.0,,,,5180.0,1349.0,,,275.0,,,I
15,2023-02-01,28,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,371.0,1656.0,1455.0,-1.0,571.0,42.9,4406.0,,,,4406.0,1347.0,,,224.0,,,I
16,2023-01-01,16,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,,1181.0,810.0,,371.0,40.8,3447.0,,,,3447.0,1346.0,,,135.0,,,I
17,2022-12-01,0,SI,NOBLE ENERGY INC,123,42972,0,NIOBRARA,,,,,,,,,,,,,,,,,,
18,2022-11-01,0,SI,NOBLE ENERGY INC,123,42972,0,NIOBRARA,,,,,,,,,,,,,,,,,,
19,2022-10-01,0,SI,NOBLE ENERGY INC,123,42972,0,NIOBRARA,173.0,,173.0,,,39.2,,,,,,,,,,,,
20,2022-09-01,9,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,566.0,577.0,971.0,1.0,173.0,39.3,2305.0,,316.0,,1989.0,1337.0,,,84.0,,,I
21,2022-08-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,548.0,2203.0,2185.0,,566.0,37.9,8673.0,,1019.0,,7654.0,1337.0,,,395.0,,,I
22,2022-07-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,521.0,2281.0,2255.0,1.0,548.0,39.0,9057.0,,955.0,,8102.0,1349.0,,,342.0,,,I
23,2022-06-01,30,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,509.0,2275.0,2263.0,,521.0,38.8,8127.0,,840.0,,7287.0,1346.0,,,329.0,,,I
24,2022-05-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,498.0,2217.0,2205.0,-1.0,509.0,38.6,8579.0,,879.0,,7700.0,1353.0,,,320.0,,,I
25,2022-04-01,30,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,552.0,2365.0,2419.0,,498.0,38.5,8716.0,,903.0,,7813.0,1346.0,,,308.0,,,I
26,2022-03-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,607.0,2737.0,2791.0,-1.0,552.0,41.9,12080.0,,952.0,,11128.0,1346.0,,,478.0,,,I
27,2022-02-01,28,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,600.0,2271.0,2264.0,,607.0,41.9,8368.0,,946.0,,7422.0,1346.0,,,391.0,,,I
28,2022-01-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,636.0,2507.0,2543.0,,600.0,39.7,7320.0,,954.0,,6366.0,1342.0,,,384.0,,,I
29,2021-12-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,641.0,2786.0,2792.0,1.0,636.0,39.4,8487.0,,941.0,,7546.0,1342.0,,,468.0,,,I
30,2021-11-01,29,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,594.0,2583.0,2536.0,,641.0,38.7,7433.0,,399.0,,7034.0,1343.0,,,381.0,,,I
31,2021-10-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,577.0,2912.0,2894.0,-1.0,594.0,39.0,8670.0,,941.0,,7729.0,1343.0,,,457.0,,,I
32,2021-09-01,30,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,631.0,3053.0,3107.0,,577.0,39.7,8198.0,,722.0,,7476.0,1389.0,,,530.0,,,C
33,2021-08-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,660.0,3170.0,3199.0,,631.0,39.4,8797.0,,952.0,,7845.0,1398.0,,,605.0,,,C
34,2021-07-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,687.0,3305.0,3332.0,,660.0,39.4,9136.0,,961.0,,8175.0,1385.0,,,801.0,,,C
35,2021-06-01,30,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,570.0,3388.0,3271.0,,687.0,39.3,8370.0,,895.0,,7475.0,1401.0,,,791.0,,,C
36,2021-05-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,588.0,3312.0,3330.0,,570.0,40.2,9410.0,,976.0,,8434.0,1382.0,,,881.0,,,C
37,2021-04-01,30,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,581.0,3234.0,3227.0,,588.0,40.2,8399.0,,948.0,,7451.0,1380.0,,,1035.0,,,C
38,2021-03-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,607.0,3361.0,3387.0,,581.0,40.9,7987.0,,883.0,,7104.0,1341.0,,,1004.0,,,C
39,2021-02-01,28,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,569.0,2973.0,2935.0,,607.0,41.2,6693.0,,846.0,,5847.0,1375.0,,,583.0,,,C
40,2021-01-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,705.0,3910.0,4046.0,,569.0,40.8,7458.0,,825.0,,6633.0,1403.0,,,1106.0,,,C
41,2020-12-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,1042.0,4410.0,4747.0,,705.0,40.3,8174.0,,885.0,,7289.0,1404.0,,,1324.0,,,C
42,2020-11-01,30,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,709.0,6989.0,6656.0,,1042.0,40.5,12553.0,,1374.0,,11179.0,1391.0,,,927.0,,,C
43,2020-10-01,15,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,329.0,5101.0,4721.0,,709.0,39.8,8251.0,,905.0,,7346.0,1372.0,,,73.0,,,C
44,2020-09-01,15,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,616.0,2208.0,2495.0,,329.0,38.9,3878.0,,425.0,,3453.0,1376.0,,,808.0,,,C
45,2020-08-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,670.0,5006.0,5060.0,,616.0,38.7,7511.0,,707.0,,6804.0,1409.0,,,1771.0,,,C
46,2020-07-01,24,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,253.0,5383.0,4966.0,,670.0,37.4,6634.0,,604.0,,6030.0,1375.0,,,945.0,,,C
47,2020-06-01,0,SI,NOBLE ENERGY INC,123,42972,0,NIOBRARA,254.0,,,-1.0,253.0,,,,,,,,,,,,,
48,2020-05-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,639.0,4736.0,5121.0,,254.0,39.8,7482.0,,692.0,,6790.0,1389.0,,,2540.0,,,C
49,2020-04-01,30,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,610.0,4916.0,4887.0,,639.0,38.8,6691.0,,621.0,,6070.0,1358.0,,,2487.0,,,C
50,2020-03-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,535.0,5123.0,5048.0,,610.0,39.5,6107.0,,534.0,,5573.0,1328.0,,,2464.0,,,C
51,2020-02-01,29,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,545.0,4556.0,4566.0,,535.0,39.2,5066.0,,450.0,,4616.0,1361.0,,,2626.0,,,C
52,2020-01-01,31,PR,NOBLE ENERGY INC,123,42972,0,NIOBRARA,547.0,5042.0,5044.0,,545.0,38.0,5472.0,,405.0,,5067.0,1296.0,,,3776.0,,,C
