,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2024-05-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,281.0,103.0,180.0,,204.0,34.0,360.0,,208.0,,152.0,1321.0,,,154.0,,,M
1,2024-04-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,173.0,108.0,,,281.0,,368.0,,210.0,,158.0,1321.0,,,166.0,,,M
2,2024-03-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,246.0,111.0,184.0,,173.0,34.0,356.0,,212.0,,144.0,1321.0,,,158.0,,,M
3,2024-02-01,24,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,265.0,141.0,160.0,,246.0,33.0,240.0,,144.0,,96.0,1321.0,,,118.0,,,M
4,2024-01-01,16,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,222.0,43.0,,,265.0,,109.0,,109.0,,,,,,60.0,,,M
5,2023-12-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,283.0,120.0,181.0,,222.0,33.0,254.0,,210.0,,44.0,1321.0,,,105.0,,,M
6,2023-11-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,188.0,95.0,,,283.0,,228.0,,203.0,,25.0,1340.0,,,73.0,,,M
7,2023-10-01,28,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,275.0,92.0,179.0,,188.0,33.0,300.0,,186.0,,114.0,1417.0,,,127.0,,,M
8,2023-09-01,26,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,173.0,102.0,,,275.0,,312.0,,175.0,,137.0,1417.0,,,145.0,,,M
9,2023-08-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,237.0,115.0,179.0,,173.0,33.0,357.0,6.0,214.0,,137.0,1417.0,,,165.0,,,M
10,2023-07-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,140.0,97.0,,,237.0,,315.0,5.0,190.0,,120.0,1417.0,,,118.0,,,M
11,2023-06-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,383.0,111.0,354.0,,140.0,34.0,328.0,2.0,203.0,,123.0,1417.0,,,30.0,,,M
12,2023-05-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,441.0,124.0,182.0,,383.0,34.0,340.0,,214.0,,126.0,1417.0,,,182.0,,,M
13,2023-04-01,23,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,336.0,105.0,,,441.0,,264.0,,147.0,,117.0,1418.0,,,147.0,,,M
14,2023-03-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,371.0,120.0,155.0,,336.0,27.0,357.0,,217.0,,140.0,1417.0,,,272.0,,,M
15,2023-02-01,26,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,331.0,223.0,183.0,,371.0,30.0,438.0,,179.0,,259.0,1417.0,,,215.0,,,M
16,2023-01-01,17,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,306.0,25.0,,,331.0,,112.0,,110.0,,2.0,1405.0,,,53.0,,,M
17,2022-12-01,21,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,278.0,28.0,,,306.0,,185.0,,144.0,,41.0,1417.0,,,57.0,,,M
18,2022-11-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,180.0,98.0,,,278.0,,264.0,2.0,196.0,,66.0,1408.0,,,63.0,,,M
19,2022-10-01,29,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,263.0,98.0,181.0,,180.0,34.0,234.0,6.0,203.0,,25.0,1394.0,,,113.0,,,M
20,2022-09-01,27,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,158.0,105.0,,,263.0,,355.0,7.0,186.0,,162.0,1393.0,,,142.0,,,M
21,2022-08-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,218.0,121.0,181.0,,158.0,33.0,400.0,,217.0,,183.0,1393.0,,,165.0,,,M
22,2022-07-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,285.0,114.0,181.0,,218.0,33.0,395.0,,217.0,,178.0,1393.0,,,162.0,,,M
23,2022-06-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,171.0,114.0,,,285.0,,385.0,,210.0,,175.0,1393.0,,,165.0,,,M
24,2022-05-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,226.0,127.0,182.0,,171.0,34.0,412.0,,217.0,,195.0,1418.0,,,185.0,,,M
25,2022-04-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,282.0,127.0,183.0,,226.0,34.0,411.0,,210.0,,201.0,1418.0,,,207.0,,,M
26,2022-03-01,30,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,313.0,147.0,178.0,,282.0,34.0,433.0,,207.0,,226.0,1418.0,,,223.0,,,M
27,2022-02-01,15,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,215.0,98.0,,,313.0,,253.0,,105.0,,148.0,1418.0,,,127.0,,,M
28,2022-01-01,25,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,340.0,112.0,237.0,,215.0,33.0,343.0,,175.0,,168.0,1418.0,,,157.0,,,M
29,2021-12-01,31,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,213.0,127.0,,,340.0,,441.0,,217.0,,224.0,1418.0,,,233.0,,,M
30,2021-11-01,15,PR,FUNDARE RESOURCES OPERATING COMPANY LLC,123,34980,0,NIOBRARA,316.0,133.0,236.0,,213.0,36.0,315.0,,105.0,,210.0,1418.0,,,170.0,,,M
31,2021-10-01,31,PR,WHITING OIL & GAS CORPORATION,123,34980,0,NIOBRARA,185.0,131.0,,,316.0,,422.0,,214.0,,208.0,1209.0,,,188.0,,,M
32,2021-09-01,30,PR,WHITING OIL & GAS CORPORATION,123,34980,0,NIOBRARA,268.0,145.0,228.0,,185.0,37.8,465.0,,210.0,,255.0,1249.0,,,207.0,,,M
33,2021-08-01,31,PR,WHITING OIL & GAS CORPORATION,123,34980,0,NIOBRARA,208.0,60.0,,,268.0,,235.0,,66.0,,169.0,1326.0,,,3.0,,,M
34,2021-07-01,27,PR,WHITING OIL & GAS CORPORATION,123,34980,0,NIOBRARA,366.0,74.0,232.0,,208.0,33.6,156.0,,65.0,,91.0,1265.0,,,68.0,,,M
35,2021-06-01,30,PR,WHITING OIL & GAS CORPORATION,123,34980,0,NIOBRARA,221.0,145.0,,,366.0,,427.0,,207.0,,220.0,1234.0,,,218.0,,,M
36,2021-05-01,31,PR,WHITING OIL & GAS CORPORATION,123,34980,0,NIOBRARA,348.0,130.0,257.0,,221.0,33.4,447.0,,207.0,,240.0,1244.0,,,283.0,,,M
37,2021-04-01,29,PR,WHITING OIL & GAS CORPORATION,123,34980,0,NIOBRARA,194.0,154.0,,,348.0,,437.0,,203.0,,234.0,1243.0,,,238.0,,,M
38,2021-03-01,21,PR,WHITING OIL & GAS CORPORATION,123,34980,0,NIOBRARA,308.0,159.0,273.0,,194.0,34.1,338.0,,147.0,,191.0,1256.0,,,217.0,,,M
39,2021-02-01,15,PR,WHITING OIL & GAS CORPORATION,123,34980,0,NIOBRARA,240.0,68.0,,,308.0,,254.0,2.0,105.0,,147.0,1265.0,,,35.0,,,M
40,2021-01-01,31,PR,WHITING OIL & GAS CORPORATION,123,34980,0,NIOBRARA,103.0,137.0,,,240.0,,413.0,,217.0,,196.0,1215.0,,,250.0,,,M
41,2020-12-01,31,PR,WHITING OIL & GAS CORPORATION,123,34980,0,NIOBRARA,192.0,149.0,238.0,,103.0,35.1,653.0,257.0,214.0,,182.0,1305.0,,,182.0,,,M
42,2020-11-01,30,PR,WHITING OIL & GAS CORPORATION,123,34980,0,NIOBRARA,356.0,107.0,271.0,,192.0,28.5,403.0,,210.0,,193.0,1217.0,,,385.0,,,M
43,2020-10-01,29,PR,WHITING OIL & GAS CORPORATION,123,34980,0,NIOBRARA,230.0,126.0,,,356.0,,353.0,8.0,198.0,,147.0,1192.0,,,178.0,,,M
44,2020-09-01,30,PR,WHITING OIL & GAS CORPORATION,123,34980,0,NIOBRARA,311.0,173.0,254.0,,230.0,33.0,373.0,,210.0,,163.0,1182.0,,,193.0,,,M
45,2020-08-01,31,PR,WHITING OIL & GAS CORPORATION,123,34980,0,NIOBRARA,160.0,151.0,,,311.0,,386.0,,214.0,,172.0,1185.0,,,227.0,,,M
