param_set,exp_reg_weight,knn_k,idw_power,MAPE_24,MAPE_36,MAPE_48,MAE_24,MAE_36,MAE_48,RMSE_24,RMSE_36,RMSE_48
"(2.0, 3, 0.1)",2.0,3,0.1,0.46973776461973316,0.4484665390020021,0.4284804901007049,35319.78434560051,40084.39368441088,41886.62711684202,45194.44390550001,53644.81013233248,58712.33934694713
"(2.0, 3, 0.15)",2.0,3,0.15,0.4690160869327441,0.4477567907292824,0.42818743496475903,35242.261003312095,39983.00896705045,41821.1250412692,45145.00816174822,53574.57158969746,58672.53632023317
"(2.0, 3, 0.2)",2.0,3,0.2,0.4683992648231655,0.44724366948989075,0.4280570673399273,35176.17776778525,39896.83570722192,41768.92976896431,45115.137083256945,53530.04631898356,58663.91646535881
"(2.0, 3, 0.25)",2.0,3,0.25,0.46795227945751144,0.44685492477618666,0.4281543551178385,35132.500268534044,39815.528548590155,41735.48365575059,45105.381462156576,53511.91004644558,58686.80197393921
"(2.0, 3, 0.3)",2.0,3,0.3,0.46763943315207285,0.4466281246353446,0.42850442087120133,35098.87453988685,39744.474795356524,41727.288005962044,45116.031023060896,53520.53014811819,58741.161945942615
"(2.0, 3, 0.35)",2.0,3,0.35,0.4674505846987021,0.4465924893709003,0.4290246629952632,35074.72152150575,39698.28530336624,41733.86234262716,45147.07737164498,53555.92652297872,58826.591221065224
"(2.0, 3, 0.4)",2.0,3,0.4,0.4674611229851891,0.44671965974955413,0.4296620108622003,35081.83268448208,39673.39855573849,41751.40944827616,45198.189353228605,53617.74318267151,58942.298075377985
"(2.0, 3, 0.45)",2.0,3,0.45,0.46769776241291455,0.44710434415897876,0.430419224123855,35114.37329161526,39680.14704611462,41780.45012156815,45268.705649877564,53705.23620736188,59087.105847291576
"(2.0, 3, 0.5)",2.0,3,0.5,0.4681749723213769,0.44770263859582443,0.4313641865940756,35173.174350717956,39713.7848870111,41829.46311458167,45357.6473775617,53817.28211203909,59259.47231165272
"(2.0, 3, 0.55)",2.0,3,0.55,0.4688022011401486,0.4485200058916562,0.43256808574348804,35252.0598754846,39772.32436183959,41917.022931198386,45463.75051052413,53952.40780324029,59457.52792144266
"(2.0, 3, 0.6)",2.0,3,0.6,0.4696224396422927,0.4495638416739869,0.43383124108234616,35352.36895451562,39865.56801452073,42009.61390618228,45585.51497809909,54108.84003718983,59679.130849565474
"(2.0, 3, 0.65)",2.0,3,0.65,0.4705846104387378,0.45087463309923337,0.4353078554046599,35464.10492372889,40012.34683586731,42140.01512986126,45721.265058438774,54284.56955272028,59921.934121052735
