a,b,min_months,max_months,discard_gaps,lateral_length_ft,has_produced,sufficient_data,actual_months,API_Label,formations
-3.6870244283393485,-0.0018453912512102024,36,48,True,5342.0,True,True,48,05-123-31642,NIOBRARA
-2.460232331693671,-0.00312096362687052,36,48,True,3745.0,True,True,48,05-123-32812,NIOBRARA
-2.2139594177340305,-0.002737416046572713,36,48,True,4381.0,True,True,48,05-123-33023,NIOBRARA
-3.7016193732196903,-0.0010903428519669863,36,48,True,4409.0,True,True,36,05-123-33065,NIOBRARA
-2.052516627670722,-0.0017981701786303934,36,48,True,3430.0,True,True,48,05-123-33067,NIOBRARA
-2.651565705494322,-0.002413477865709755,36,48,True,4301.0,True,True,48,05-123-33080,NIOBRARA
-3.0728384774792965,-0.002620850773394947,36,48,True,4228.0,True,True,46,05-123-33082,NIOBRARA
-2.995200483237485,-0.001870377947101559,36,48,True,4396.0,True,True,48,05-123-33086,NIOBRARA
-2.244255498464742,-0.0023907326731686753,36,48,True,4342.0,True,True,48,05-123-33087,NIOBRARA
-2.4566818211670065,-0.00266782990770738,36,48,True,4420.0,True,True,48,05-123-33097,NIOBRARA
-2.4168493953451415,-0.0020209032932151406,36,48,True,4321.0,True,True,48,05-123-33166,NIOBRARA
-2.384183969566538,-0.003548956240812977,36,48,True,4348.0,True,True,48,05-123-33231,NIOBRARA
-2.229623494768758,-0.002097568870370345,36,48,True,4314.0,True,True,48,05-123-33238,NIOBRARA
-2.4051037692739397,-0.003630124731163746,36,48,True,4345.0,True,True,48,05-123-33267,NIOBRARA
-2.558741293574069,-0.0032141806143931805,36,48,True,4412.0,True,True,48,05-123-33311,NIOBRARA
-2.3278025298519447,-0.002973824065410717,36,48,True,4380.0,True,True,48,05-123-33330,NIOBRARA
-2.8738069531770187,-0.0027412883142361255,36,48,True,4442.0,True,True,48,05-123-33368,NIOBRARA
-2.373763004154414,-0.0023010716533939427,36,48,True,4327.0,True,True,48,05-123-33413,NIOBRARA
-3.4599605389774397,-0.0018928841900315112,36,48,True,4282.0,True,True,48,05-123-33436,NIOBRARA
-2.4340985578380816,-0.0030426196933361683,36,48,True,4288.0,True,True,48,05-123-33451,NIOBRARA
