a,b,min_months,max_months,discard_gaps,lateral_length_ft,has_produced,sufficient_data,actual_months,API_Label,formations
-3.2376773179189953,-0.0023726758404881668,36,48,True,7446.0,True,True,48,05-123-39199,NIOBRARA
-3.1737384354648146,-0.0025817279166732905,36,48,True,7559.0,True,True,48,05-123-39200,NIOBRARA
-3.127537987383557,-0.002881594085634422,36,48,True,7507.0,True,True,48,05-123-39201,NIOBRARA
-2.9835245056575235,-0.002156349393518159,36,48,True,7436.0,True,True,48,05-123-39202,NIOBRARA
-4.460685013536836,-0.0017525876177818345,36,48,True,9512.0,True,True,48,05-123-39240,NIOBRARA
-2.8082369178660875,-0.0032064418733901224,36,48,True,7513.0,True,True,48,05-123-39256,NIOBRARA
-3.3030630975920405,-0.0024459889784520785,36,48,True,7418.0,True,True,48,05-123-39257,NIOBRARA
-3.211062505946801,-0.0024651274416758037,36,48,True,7434.0,True,True,48,05-123-39258,NIOBRARA
-2.873605691900125,-0.002876991239919196,36,48,True,7469.0,True,True,48,05-123-39259,NIOBRARA
-2.847981454040782,-0.003613146212130524,36,48,True,7483.0,True,True,48,05-123-39260,NIOBRARA
-2.9188776115089405,-0.003092728713834532,36,48,True,7526.0,True,True,48,05-123-39261,NIOBRARA
-2.9620060440252733,-0.002839354292023674,36,48,True,7514.0,True,True,48,05-123-39264,NIOBRARA
-3.398966744656264,-0.0027312906246454564,36,48,True,4346.0,True,True,48,05-123-39277,NIOBRARA
-4.006089295232218,-0.0022058497233030053,36,48,True,4368.0,True,True,48,05-123-39278,NIOBRARA
-2.8839902611212205,-0.0029630980925091956,36,48,True,7519.0,True,True,48,05-123-39305,NIOBRARA
-3.2833167466728637,-0.0023483334962946505,36,48,True,7462.0,True,True,48,05-123-39306,NIOBRARA
-3.1013333659596434,-0.0024102597657858706,36,48,True,7568.0,True,True,48,05-123-39307,NIOBRARA
-2.7046970870588916,-0.0036878002871593746,36,48,True,7512.0,True,True,48,05-123-39308,NIOBRARA
-4.090361882427557,-0.0019411953822964735,36,48,True,4412.0,True,True,48,05-123-39331,NIOBRARA
-3.7672705673543483,-0.0018646377101245466,36,48,True,4747.0,True,True,48,05-123-39368,NIOBRARA
-2.641640403101016,-0.00535911446852961,36,48,True,4758.0,True,True,43,05-123-39370,NIOBRARA
-2.964370814997154,-0.0027256982572304166,36,48,True,4715.0,True,True,48,05-123-39372,NIOBRARA
-4.105912412411909,-0.0018114183204652502,36,48,True,4381.0,True,True,48,05-123-39383,NIOBRARA
-3.7153144757297567,-0.003201442810018305,36,48,True,4374.0,True,True,48,05-123-39440,NIOBRARA
-3.686167125318098,-0.0025023331448954644,36,48,True,4396.0,True,True,48,05-123-39441,NIOBRARA
-3.1824059426278963,-0.0023760305389693174,36,48,True,4332.0,True,True,48,05-123-39442,NIOBRARA
-3.2105227741666043,-0.003398140641811684,36,48,True,4315.0,True,True,48,05-123-39443,NIOBRARA
-3.5071810921228344,-0.0021158672930736136,36,48,True,4322.0,True,True,48,05-123-39444,NIOBRARA
-4.140090298088203,-0.0020095045285699986,36,48,True,8334.0,True,True,48,05-123-39523,NIOBRARA
-4.352910140212937,-0.0022415688750916903,36,48,True,8227.0,True,True,48,05-123-39524,NIOBRARA
-4.154985618525113,-0.002314456713123798,36,48,True,8213.0,True,True,48,05-123-39525,NIOBRARA
-3.978576197764296,-0.0025667590867482306,36,48,True,8144.0,True,True,48,05-123-39526,NIOBRARA
-4.380993917262931,-0.0019585671378662944,36,48,True,8158.0,True,True,48,05-123-39527,NIOBRARA
-4.100006616734274,-0.0026546173563326554,36,48,True,8092.0,True,True,48,05-123-39528,NIOBRARA
-4.335980843338447,-0.002123886803590896,36,48,True,8122.0,True,True,48,05-123-39529,NIOBRARA
-4.207891407222941,-0.002222933031454199,36,48,True,8146.0,True,True,48,05-123-39530,NIOBRARA
-4.5669174755599355,-0.0018460130449888886,36,48,True,8268.0,True,True,48,05-123-39531,NIOBRARA
-4.509474605350426,-0.0017327707018052467,36,48,True,8112.0,True,True,48,05-123-39532,NIOBRARA
-3.7778463224102596,-0.0017780877466936395,36,48,True,8137.0,True,True,48,05-123-39533,NIOBRARA
-4.2875337427649365,-0.002561870228080093,36,48,True,8159.0,True,True,48,05-123-39534,NIOBRARA
-3.1913131482620636,-0.0018240246336731281,36,48,True,9184.0,True,True,48,05-123-39649,NIOBRARA
-3.2170037440770503,-0.001804835006386509,36,48,True,9113.0,True,True,48,05-123-39652,NIOBRARA
-3.1475254384114657,-0.0023278092793550904,36,48,True,4890.0,True,True,48,05-123-39654,NIOBRARA
-2.9667453749377803,-0.002078370815760936,36,48,True,4897.0,True,True,48,05-123-39663,NIOBRARA
-3.207537051366564,-0.002095369634340496,36,48,True,4900.0,True,True,48,05-123-39672,NIOBRARA
-3.1426933104638426,-0.0018810266937069346,36,48,True,9109.0,True,True,48,05-123-39686,NIOBRARA
-3.196412606790421,-0.0017319650960892156,36,48,True,9292.0,True,True,48,05-123-39695,NIOBRARA
-3.6373069758377983,-0.0020185264388850287,36,48,True,4786.0,True,True,48,05-123-39698,NIOBRARA
-3.267367920760145,-0.0019693101781020606,36,48,True,9180.0,True,True,48,05-123-39699,NIOBRARA
-3.211219195694091,-0.002075461196444666,36,48,True,9166.0,True,True,48,05-123-39700,NIOBRARA
-3.3077138487211872,-0.0018950460276086739,36,48,True,4697.0,True,True,48,05-123-39701,NIOBRARA
-3.369766848129077,-0.0018840515666371724,36,48,True,4514.0,True,True,48,05-123-39703,NIOBRARA
-2.6135227146115025,-0.002542350311389301,36,48,True,4926.0,True,True,48,05-123-39758,NIOBRARA
-2.548379746766155,-0.0020192797118065045,36,48,True,4878.0,True,True,48,05-123-39760,NIOBRARA
-2.8504011239722686,-0.0020702285959634825,36,48,True,9117.0,True,True,48,05-123-39761,NIOBRARA
-2.6102871778015593,-0.002394860808392189,36,48,True,4881.0,True,True,48,05-123-39765,NIOBRARA
-2.749617058572208,-0.0021161439931670534,36,48,True,9079.0,True,True,48,05-123-39766,NIOBRARA
-2.8883100041469625,-0.0020117728073978038,36,48,True,9076.0,True,True,48,05-123-39767,NIOBRARA
-2.506809805283545,-0.002488139090644719,36,48,True,4150.0,True,True,48,05-123-39805,NIOBRARA
-2.7290878974524584,-0.002374530181647571,36,48,True,4622.0,True,True,48,05-123-39806,NIOBRARA
-2.57306694231928,-0.002413828403847563,36,48,True,4300.0,True,True,48,05-123-39807,NIOBRARA
-2.512242150192584,-0.0022451267010719193,36,48,True,4862.0,True,True,48,05-123-39809,NIOBRARA
-2.477828057546808,-0.0020922542157269354,36,48,True,4888.0,True,True,48,05-123-39810,NIOBRARA
-2.3669517051631854,-0.002374518230096428,36,48,True,4951.0,True,True,48,05-123-39812,NIOBRARA
-2.3921277787986854,-0.0025320877037888676,36,48,True,4124.0,True,True,48,05-123-39814,NIOBRARA
-2.4081763993687244,-0.0024619998643236967,36,48,True,3973.0,True,True,48,05-123-39817,NIOBRARA
-2.3470113377744832,-0.002735799146163693,36,48,True,4065.0,True,True,48,05-123-39819,NIOBRARA
-2.231181675988751,-0.0024711587502082343,36,48,True,4050.0,True,True,48,05-123-39820,NIOBRARA
-2.270590396650486,-0.0018499828292616993,36,48,True,5240.0,True,True,48,05-123-39828,NIOBRARA
-2.2764938564970647,-0.0024687114472780347,36,48,True,5047.0,True,True,48,05-123-39831,NIOBRARA
-2.4409081394623597,-0.0022472198585333637,36,48,True,5251.0,True,True,48,05-123-39836,NIOBRARA
-2.363337862747293,-0.0023789838434987998,36,48,True,5255.0,True,True,48,05-123-39844,NIOBRARA
-2.184899808582019,-0.002237931357974201,36,48,True,4092.0,True,True,48,05-123-39852,NIOBRARA
-2.388034220830017,-0.0025977130942425463,36,48,True,5056.0,True,True,48,05-123-39872,NIOBRARA
-2.596199845820873,-0.002457627247860581,36,48,True,4056.0,True,True,48,05-123-39875,NIOBRARA
-2.468647950713314,-0.0024088240840199476,36,48,True,5006.0,True,True,48,05-123-39877,NIOBRARA
-2.47766656219535,-0.0028635908278306487,36,48,True,4000.0,True,True,48,05-123-39878,NIOBRARA
-2.5662190245164513,-0.002419969233337478,36,48,True,4067.0,True,True,48,05-123-39879,NIOBRARA
-2.8209460015500887,-0.0020563525163408646,36,48,True,9088.0,True,True,48,05-123-39896,NIOBRARA
-2.54054675919117,-0.002591431692534405,36,48,True,4212.0,True,True,48,05-123-39898,NIOBRARA
-2.6741309555571786,-0.001842082192212149,36,48,True,9121.0,True,True,48,05-123-39899,NIOBRARA
-3.727209216509214,-0.0018743760921176526,36,48,True,5065.0,True,True,48,05-123-39927,NIOBRARA
-3.2150380337249698,-0.0024292832689315038,36,48,True,5038.0,True,True,48,05-123-39929,NIOBRARA
-3.224474918037568,-0.0028578485925288043,36,48,True,5078.0,True,True,48,05-123-39930,NIOBRARA
-3.5873995743168736,-0.002365569525968875,36,48,True,4345.0,True,True,48,05-123-39948,NIOBRARA
-2.791503588076899,-0.002413488541893611,36,48,True,5413.0,True,True,48,05-123-40021,NIOBRARA
-3.4744606212379185,-0.0020777260123221526,36,48,True,5431.0,True,True,48,05-123-40023,NIOBRARA
-3.1149895742691314,-0.003236163968153105,36,48,True,5408.0,True,True,48,05-123-40024,CARLILE-CODELL-FORT HAYS
-3.384093795473697,-0.002478908496108982,36,48,True,4475.0,True,True,48,05-123-40028,NIOBRARA
-3.4698486946570517,-0.0024549974332085025,36,48,True,7519.0,True,True,48,05-123-40049,NIOBRARA
-3.3083469894951656,-0.0017323253781527284,36,48,True,7993.0,True,True,48,05-123-40132,NIOBRARA
-3.600254419677145,-0.0012661352179476316,36,48,True,8008.0,True,True,48,05-123-40134,NIOBRARA
-3.224749568388546,-0.0020022619140039897,36,48,True,7916.0,True,True,48,05-123-40139,NIOBRARA
