a,b,min_months,max_months,discard_gaps,lateral_length_ft,has_produced,sufficient_data,actual_months,API_Label,formations
-3.5882037886008193,-0.002171752818663678,36,48,True,5342.0,True,True,48,05-123-31642,NIOBRARA
-2.2701986252668704,-0.003846380614587213,36,48,True,3745.0,True,True,48,05-123-32812,NIOBRARA
-2.0136342386455115,-0.0037364939919417766,36,48,True,4381.0,True,True,48,05-123-33023,NIOBRARA
-3.554550007751469,-0.0012287284805081,36,48,True,4409.0,True,True,36,05-123-33065,NIOBRARA
-1.9070299511601112,-0.002186038957564105,36,48,True,3430.0,True,True,48,05-123-33067,NIOBRARA
-2.511815906276536,-0.003087995042036941,36,48,True,4301.0,True,True,48,05-123-33080,NIOBRARA
-2.886854633698059,-0.00350086848317241,36,48,True,4228.0,True,True,46,05-123-33082,NIOBRARA
-2.849251599649505,-0.0022661690740977706,36,48,True,4396.0,True,True,48,05-123-33086,NIOBRARA
-2.1224648961902464,-0.0029228969181724607,36,48,True,4342.0,True,True,48,05-123-33087,NIOBRARA
-2.290977430760226,-0.003544571324334178,36,48,True,4420.0,True,True,48,05-123-33097,NIOBRARA
-2.3129747690370692,-0.0023406588184093115,36,48,True,4321.0,True,True,48,05-123-33166,NIOBRARA
-2.2411492169251535,-0.004540091223138818,36,48,True,4348.0,True,True,48,05-123-33231,NIOBRARA
-2.1417449043325067,-0.0021424849198729604,36,48,True,4314.0,True,True,48,05-123-33238,NIOBRARA
-2.284894631426447,-0.0044822715275470455,36,48,True,4345.0,True,True,48,05-123-33267,NIOBRARA
-2.4646730162727244,-0.003749239481857678,36,48,True,4412.0,True,True,48,05-123-33311,NIOBRARA
-2.20970895511944,-0.003498684801637416,36,48,True,4380.0,True,True,48,05-123-33330,NIOBRARA
-2.7096090613864408,-0.0035897313241933827,36,48,True,4442.0,True,True,48,05-123-33368,NIOBRARA
-2.246257275115971,-0.0027728709122784453,36,48,True,4327.0,True,True,48,05-123-33413,NIOBRARA
-3.284063570955571,-0.0023186619950954237,36,48,True,4282.0,True,True,48,05-123-33436,NIOBRARA
-2.2791804228332193,-0.003956546129140142,36,48,True,4288.0,True,True,48,05-123-33451,NIOBRARA
-3.0312090397584512,-0.0029339612934039046,36,48,True,4314.0,True,True,48,05-123-33475,NIOBRARA
-2.611931922270888,-0.002752277349583607,36,48,True,4328.0,True,True,48,05-123-33493,NIOBRARA
-2.2284101355055603,-0.0034109312980576123,36,48,True,4262.0,True,True,48,05-123-33563,NIOBRARA
-3.7541892858420924,-0.0033923445509383373,36,48,True,4281.0,True,True,48,05-123-33681,NIOBRARA
-1.782064672605677,-0.0043932871015952306,36,48,True,3533.0,True,True,48,05-123-33688,NIOBRARA
-2.2332928588639347,-0.0035798340708654156,36,48,True,4344.0,True,True,48,05-123-33689,NIOBRARA
-2.9462038139878763,-0.002214410956019019,36,48,True,4028.0,True,True,48,05-123-33800,NIOBRARA
-3.5869520625864513,-0.003412369742333105,36,48,True,4364.0,True,True,48,05-123-33801,NIOBRARA
-3.513411706241851,-0.002711259858660141,36,48,True,4288.0,True,True,48,05-123-33822,NIOBRARA
-2.2403385607076807,-0.0035070825949574825,36,48,True,4368.0,True,True,48,05-123-33945,NIOBRARA
-2.412220817394305,-0.004241971531853286,36,48,True,4180.0,True,True,48,05-123-33955,NIOBRARA
-3.2094987780101127,-0.004438301373620973,36,48,True,4476.0,True,True,48,05-123-33956,NIOBRARA
-2.4387208943358916,-0.0037483679279224054,36,48,True,4283.0,True,True,48,05-123-33959,NIOBRARA
-2.685455144790785,-0.0039951667578426745,36,48,True,5784.0,True,True,48,05-123-33960,NIOBRARA
-3.207219181407883,-0.004020045505067984,36,48,True,4329.0,True,True,48,05-123-34100,NIOBRARA
-1.9312426542498147,-0.002701692682810649,36,48,True,4313.0,True,True,48,05-123-34152,NIOBRARA
-3.0137771683078087,-0.002152823948222588,36,48,True,4393.0,True,True,48,05-123-34351,NIOBRARA
-2.8135926349257856,-0.0027562588871330044,36,48,True,4313.0,True,True,48,05-123-34384,NIOBRARA
-2.93764967335615,-0.005883272931349006,36,48,True,3779.0,True,True,48,05-123-34387,NIOBRARA
-3.136411064460326,-0.00309927792994225,36,48,True,4397.0,True,True,48,05-123-34404,NIOBRARA
-2.686669757204714,-0.0030454990706239504,36,48,True,4260.0,True,True,48,05-123-34418,NIOBRARA
-3.0514883324210635,-0.001534136089851116,36,48,True,6691.0,True,True,48,05-123-34420,NIOBRARA
-1.9548932090733881,-0.005051731478079658,36,48,True,4007.0,True,True,48,05-123-34430,NIOBRARA
-3.3135452647377157,-0.0034091971713645706,36,48,True,3801.0,True,True,48,05-123-34438,NIOBRARA
-2.804699513031446,-0.0030941472511218453,36,48,True,4013.0,True,True,48,05-123-34685,NIOBRARA
-2.9294195433267918,-0.0029591156239892735,36,48,True,4649.0,True,True,48,05-123-34749,NIOBRARA
-2.7637554443517276,-0.004294892353946852,36,48,True,3948.0,True,True,48,05-123-34824,NIOBRARA
-3.0943048446962798,-0.004516062197987524,36,48,True,9488.0,True,True,48,05-123-34825,NIOBRARA
-2.8147832765400636,-0.0036860375336247317,36,48,True,3960.0,True,True,48,05-123-34880,NIOBRARA
-3.425724899795282,-0.002749429892182125,36,48,True,4077.0,True,True,48,05-123-34888,NIOBRARA
-2.256062754112304,-0.0029535248526878625,36,48,True,4020.0,True,True,48,05-123-34896,NIOBRARA
-3.050812168816069,-0.0029901814809664647,36,48,True,3919.0,True,True,48,05-123-34978,NIOBRARA
-3.6925486243226815,-0.002210885365322062,36,48,True,3907.0,True,True,48,05-123-34980,NIOBRARA
-2.196315985305281,-0.004331507422554687,36,48,True,3690.0,True,True,48,05-123-35005,NIOBRARA
-3.3831974556816924,-0.0024865253071187235,36,48,True,3991.0,True,True,48,05-123-35011,NIOBRARA
-2.116901077997611,-0.003515801907737919,36,48,True,4231.0,True,True,48,05-123-35102,NIOBRARA
-3.325367977373253,-0.0034773914216323365,36,48,True,4172.0,True,True,48,05-123-35277,NIOBRARA
-1.9520507371627496,-0.0034199216709510944,36,48,True,4306.0,True,True,48,05-123-35286,NIOBRARA
-1.8542830166652269,-0.003366701367522652,36,48,True,4260.0,True,True,48,05-123-35287,NIOBRARA
-1.9372107472354905,-0.002854657308984254,36,48,True,4383.0,True,True,48,05-123-35288,NIOBRARA
-4.0914810766328085,-0.0021216165530388324,36,48,True,5133.0,True,True,48,05-123-35357,NIOBRARA
-2.838659544623545,-0.006070408838883606,36,48,True,5512.0,True,True,48,05-123-35424,NIOBRARA
-3.7468750152269945,-0.00237319510514299,36,48,True,4039.0,True,True,48,05-123-35500,NIOBRARA
-2.872431419228156,-0.005822592609425464,36,48,True,4365.0,True,True,48,05-123-35685,NIOBRARA
-3.4348752089856545,-0.003137328040942189,36,48,True,4400.0,True,True,48,05-123-35804,NIOBRARA
-1.9221858154929046,-0.0053477414638508705,36,48,True,4340.0,True,True,48,05-123-35812,NIOBRARA
-2.9663501375966503,-0.003451220167451739,36,48,True,4396.0,True,True,48,05-123-35814,NIOBRARA
-3.753050167624447,-0.002734784123119327,36,48,True,4134.0,True,True,48,05-123-35958,NIOBRARA
-3.9179168329397203,-0.0016350802041363696,36,48,True,6724.0,True,True,48,05-123-36029,NIOBRARA
-3.0788445091285905,-0.0036299289661392946,36,48,True,4347.0,True,True,48,05-123-36034,NIOBRARA
-3.828983882428614,-0.0007085006761305248,36,48,True,6865.0,True,True,48,05-123-36052,NIOBRARA
-2.9413437040893737,-0.0019285877141381454,36,48,True,6716.0,True,True,48,05-123-36057,NIOBRARA
-2.115111847443151,-0.004417626043924185,36,48,True,4411.0,True,True,48,05-123-36068,NIOBRARA
-3.391546667438841,-0.0009685509055263028,36,48,True,7547.0,True,True,48,05-123-36121,NIOBRARA
-2.842771484949705,-0.0036899806959182465,36,48,True,4075.0,True,True,48,05-123-36123,NIOBRARA
-2.537246226579657,-0.0011895508083527638,36,48,True,6659.0,True,True,48,05-123-36124,NIOBRARA
-3.2481035065378365,-0.0026653971566675694,36,48,True,4059.0,True,True,48,05-123-36127,NIOBRARA
-3.28825026150941,-0.0019795744632494254,36,48,True,6677.0,True,True,48,05-123-36130,NIOBRARA
-3.0734465064617327,-0.002532720725456084,36,48,True,5084.0,True,True,48,05-123-36168,NIOBRARA
-3.1847841371060057,-0.004204182128670261,36,48,True,4914.0,True,True,48,05-123-36243,NIOBRARA
